Q0,A629
Q1,A110
Q2,A582
Q3,A976
Q4,A482
Q5,A80
Q6,A523
Q7,A867
Q8,A725
Q9,A599
Q10,A214
Q11,A684
Q12,A764
Q13,A689
Q14,A67
Q15,A465
Q16,A298
Q17,A802
Q18,A772
Q19,A914
Q20,A639
Q21,A224
Q22,A982
Q23,A390
Q24,A922
Q25,A509
Q26,A657
Q27,A494
Q28,A925
Q29,A442
Q30,A377
Q31,A824
Q32,A224
Q33,A73
Q34,A980
Q35,A853
Q36,A944
Q37,A885
Q38,A796
Q39,A233
Q40,A166
Q41,A837
Q42,A536
Q43,A494
Q44,A473
Q45,A836
Q46,A187
Q47,A240
Q48,A435
Q49,A313
Q50,A869
Q51,A588
Q52,A949
Q53,A750
Q54,A156
Q55,A691
Q56,A831
Q57,A896
Q58,A624
Q59,A165
Q60,A619
Q61,A728
Q62,A876
Q63,A595
Q64,A44
Q65,A494
Q66,A997
Q67,A394
Q68,A928
Q69,A33
Q70,A852
Q71,A968
Q72,A905
Q73,A330
Q74,A735
Q75,A691
Q76,A836
Q77,A888
Q78,A231
Q79,A410
Q80,A818
Q81,A382
Q82,A380
Q83,A898
Q84,A810
Q85,A408
Q86,A961
Q87,A681
Q88,A184
Q89,A278
Q90,A821
Q91,A728
Q92,A257
Q93,A905
Q94,A467
Q95,A901
Q96,A587
Q97,A584
Q98,A728
Q99,A870
Q100,A768
Q101,A632
Q102,A305
Q103,A168
Q104,A345
Q105,A616
Q106,A193
Q107,A928
Q108,A163
Q109,A864
Q110,A733
Q111,A745
Q112,A709
Q113,A464
Q114,A265
Q115,A883
Q116,A729
Q117,A61
Q118,A411
Q119,A922
Q120,A442
Q121,A804
Q122,A626
Q123,A745
Q124,A570
Q125,A650
Q126,A485
Q127,A516
Q128,A42
Q129,A652
Q130,A962
Q131,A899
Q132,A795
Q133,A885
Q134,A463
Q135,A232
Q136,A651
Q137,A681
Q138,A43
Q139,A901
Q140,A543
Q141,A550
Q142,A658
Q143,A120
Q144,A976
Q145,A203
Q146,A853
Q147,A147
Q148,A309
Q149,A35
Q150,A638
Q151,A651
Q152,A725
Q153,A482
Q154,A187
Q155,A256
Q156,A940
Q157,A635
Q158,A923
Q159,A790
Q160,A501
Q161,A556
Q162,A515
Q163,A868
Q164,A909
Q165,A885
Q166,A961
Q167,A638
Q168,A257
Q169,A374
Q170,A253
Q171,A480
Q172,A699
Q173,A481
Q174,A426
Q175,A522
Q176,A821
Q177,A779
Q178,A651
Q179,A968
Q180,A851
Q181,A523
Q182,A715
Q183,A254
Q184,A531
Q185,A456
Q186,A519
Q187,A818
Q188,A99
Q189,A465
Q190,A399
Q191,A876
Q192,A184
Q193,A567
Q194,A633
Q195,A484
Q196,A882
Q197,A709
Q198,A437
Q199,A751
Q200,A120
Q201,A305
Q202,A598
Q203,A842
Q204,A459
Q205,A368
Q206,A635
Q207,A549
Q208,A186
Q209,A515
Q210,A435
Q211,A530
Q212,A869
Q213,A614
Q214,A142
Q215,A681
Q216,A795
Q217,A810
Q218,A675
Q219,A240
Q220,A597
Q221,A524
Q222,A285
Q223,A622
Q224,A784
Q225,A501
Q226,A488
Q227,A383
Q228,A54
Q229,A516
Q230,A539
Q231,A248
Q232,A632
Q233,A718
Q234,A531
Q235,A282
Q236,A939
Q237,A331
Q238,A386
Q239,A967
Q240,A95
Q241,A899
Q242,A302
Q243,A294
Q244,A374
Q245,A759
Q246,A482
Q247,A648
Q248,A624
Q249,A248
Q250,A760
Q251,A442
Q252,A527
Q253,A754
Q254,A753
Q255,A482
Q256,A635
Q257,A478
Q258,A386
Q259,A461
Q260,A896
Q261,A233
Q262,A790
Q263,A724
Q264,A187
Q265,A820
Q266,A977
Q267,A474
Q268,A406
Q269,A454
Q270,A406
Q271,A735
Q272,A338
Q273,A229
Q274,A707
Q275,A813
Q276,A197
Q277,A809
Q278,A193
Q279,A509
Q280,A698
Q281,A226
Q282,A134
Q283,A410
Q284,A745
Q285,A375
Q286,A836
Q287,A539
Q288,A923
Q289,A27
Q290,A883
Q291,A228
Q292,A906
Q293,A511
Q294,A210
Q295,A232
Q296,A243
Q297,A426
Q298,A554
Q299,A204
Q300,A55
Q301,A601
Q302,A556
Q303,A806
Q304,A537
Q305,A435
Q306,A266
Q307,A665
Q308,A740
Q309,A119
Q310,A718
Q311,A935
Q312,A231
Q313,A144
Q314,A680
Q315,A50
Q316,A502
Q317,A87
Q318,A306
Q319,A932
Q320,A698
Q321,A838
Q322,A422
Q323,A731
Q324,A578
Q325,A817
Q326,A920
Q327,A919
Q328,A976
Q329,A749
Q330,A878
Q331,A34
Q332,A643
Q333,A905
Q334,A446
Q335,A784
Q336,A700
Q337,A492
Q338,A905
Q339,A373
Q340,A672
Q341,A77
Q342,A185
Q343,A969
Q344,A689
Q345,A58
Q346,A407
Q347,A837
Q348,A675
Q349,A359
Q350,A290
Q351,A813
Q352,A898
Q353,A805
Q354,A919
Q355,A702
Q356,A356
Q357,A160
Q358,A655
Q359,A679
Q360,A880
