Q0,A245
Q1,A629
Q2,A110
Q3,A775
Q4,A490
Q5,A497
Q6,A321
Q7,A582
Q8,A65
Q9,A561
Q10,A976
Q11,A696
Q12,A17
Q13,A311
Q14,A482
Q15,A585
Q16,A302
Q17,A338
Q18,A474
Q19,A452
Q20,A449
Q21,A668
Q22,A80
Q23,A342
Q24,A80
Q25,A289
Q26,A19
Q27,A376
Q28,A523
Q29,A432
Q30,A297
Q31,A171
Q32,A364
Q33,A759
Q34,A867
Q35,A545
Q36,A44
Q37,A555
Q38,A725
Q39,A501
Q40,A599
Q41,A214
Q42,A333
Q43,A54
Q44,A317
Q45,A684
Q46,A399
Q47,A550
Q48,A755
Q49,A756
Q50,A764
Q51,A236
Q52,A608
Q53,A347
Q54,A41
Q55,A794
Q56,A161
Q57,A689
Q58,A753
Q59,A372
Q60,A186
Q61,A826
Q62,A450
Q63,A67
Q64,A344
Q65,A773
Q66,A465
Q67,A401
Q68,A557
Q69,A157
Q70,A198
Q71,A95
Q72,A318
Q73,A326
Q74,A298
Q75,A802
Q76,A20
Q77,A246
Q78,A187
Q79,A772
Q80,A679
Q81,A60
Q82,A756
Q83,A914
Q84,A253
Q85,A639
Q86,A47
Q87,A469
Q88,A224
Q89,A716
Q90,A733
Q91,A379
Q92,A152
Q93,A569
Q94,A82
Q95,A543
Q96,A483
Q97,A766
Q98,A409
Q99,A741
Q100,A206
Q101,A166
Q102,A10
Q103,A124
Q104,A224
Q105,A805
Q106,A523
Q107,A982
Q108,A792
Q109,A390
Q110,A922
Q111,A147
Q112,A98
Q113,A911
Q114,A281
Q115,A975
Q116,A700
Q117,A155
Q118,A494
Q119,A900
Q120,A509
Q121,A345
Q122,A656
Q123,A250
Q124,A657
Q125,A494
Q126,A925
Q127,A4
Q128,A309
Q129,A139
Q130,A577
Q131,A442
Q132,A766
Q133,A919
Q134,A377
Q135,A821
Q136,A104
Q137,A420
Q138,A683
Q139,A828
Q140,A569
Q141,A13
Q142,A736
Q143,A824
Q144,A832
Q145,A224
Q146,A407
Q147,A628
Q148,A73
Q149,A352
Q150,A214
Q151,A287
Q152,A69
Q153,A929
Q154,A295
Q155,A714
