item,worker,label
0,0,551
0,1,748
0,2,629
0,3,680
0,4,629
1,0,114
1,1,114
1,2,114
1,3,114
1,4,52
2,0,582
2,1,943
2,2,943
2,3,582
2,4,582
3,0,976
3,1,976
3,2,978
3,3,976
3,4,976
4,0,848
4,1,848
4,2,848
4,3,848
4,4,482
5,0,7
5,1,7
5,2,86
5,3,86
5,4,86
6,0,600
6,1,523
6,2,523
6,3,523
6,4,523
7,0,757
7,1,757
7,2,660
7,3,757
7,4,660
8,0,899
8,1,899
8,2,725
8,3,899
8,4,725
9,0,909
9,1,599
9,2,599
9,3,599
9,4,599
10,0,240
10,1,240
10,2,240
10,3,240
10,4,234
11,0,902
11,1,684
11,2,684
11,3,684
11,4,641
12,0,764
12,1,413
12,2,413
12,3,764
12,4,764
13,0,903
13,1,689
13,2,689
13,3,689
13,4,903
14,0,67
14,1,67
14,2,67
14,3,54
14,4,67
15,0,465
15,1,413
15,2,413
15,3,413
15,4,465
16,0,298
16,1,298
16,2,377
16,3,377
16,4,298
17,0,802
17,1,802
17,2,802
17,3,247
17,4,802
18,0,711
18,1,772
18,2,772
18,3,711
18,4,772
19,0,977
19,1,914
19,2,914
19,3,484
19,4,914
20,0,639
20,1,639
20,2,639
20,3,638
20,4,639
21,0,797
21,1,797
21,2,224
21,3,672
21,4,797
22,0,461
22,1,439
22,2,439
22,3,439
22,4,461
23,0,390
23,1,1
23,2,1
23,3,126
23,4,390
24,0,563
24,1,563
24,2,922
24,3,418
24,4,922
25,0,582
25,1,582
25,2,582
25,3,509
25,4,582
26,0,657
26,1,744
26,2,657
26,3,657
26,4,657
27,0,494
27,1,706
27,2,580
27,3,494
27,4,706
28,0,925
28,1,923
28,2,925
28,3,923
28,4,923
29,0,494
29,1,494
29,2,494
29,3,494
29,4,442
30,0,380
30,1,380
30,2,380
30,3,377
30,4,380
31,0,824
31,1,824
31,2,824
31,3,735
31,4,824
32,0,199
32,1,199
32,2,227
32,3,224
32,4,227
33,0,74
33,1,74
33,2,73
33,3,74
33,4,73
34,0,970
34,1,980
34,2,980
34,3,980
34,4,980
35,0,853
35,1,515
35,2,391
35,3,515
35,4,391
36,0,946
36,1,944
36,2,944
36,3,944
36,4,944
37,0,884
37,1,824
37,2,885
37,3,824
37,4,911
38,0,795
38,1,795
38,2,796
38,3,795
38,4,796
39,0,267
39,1,233
39,2,267
39,3,267
39,4,267
40,0,162
40,1,162
40,2,166
40,3,162
40,4,166
41,0,836
41,1,837
41,2,793
41,3,836
41,4,836
42,0,536
42,1,536
42,2,724
42,3,536
42,4,724
43,0,494
43,1,442
43,2,494
43,3,442
43,4,442
44,0,512
44,1,512
44,2,473
44,3,512
44,4,512
45,0,197
45,1,197
45,2,837
45,3,197
45,4,837
46,0,151
46,1,207
46,2,187
46,3,207
46,4,193
47,0,238
47,1,238
47,2,238
47,3,238
47,4,240
48,0,435
48,1,876
48,2,435
48,3,435
48,4,435
49,0,313
49,1,315
49,2,313
49,3,315
49,4,315
50,0,649
50,1,649
50,2,824
50,3,869
50,4,824
51,0,677
51,1,489
51,2,489
51,3,506
51,4,489
52,0,949
52,1,949
52,2,949
52,3,949
52,4,954
53,0,750
53,1,750
53,2,697
53,3,750
53,4,680
54,0,218
54,1,156
54,2,156
54,3,218
54,4,156
55,0,570
55,1,691
55,2,570
55,3,570
55,4,691
56,0,753
56,1,750
56,2,750
56,3,750
56,4,831
57,0,896
57,1,896
57,2,896
57,3,876
57,4,896
58,0,624
58,1,624
58,2,624
58,3,698
58,4,624
59,0,236
59,1,165
59,2,165
59,3,165
59,4,165
60,0,619
60,1,619
60,2,619
60,3,846
60,4,846
61,0,703
61,1,728
61,2,728
61,3,728
61,4,440
62,0,876
62,1,876
62,2,876
62,3,876
62,4,435
63,0,595
63,1,595
63,2,856
63,3,595
63,4,595
64,0,44
64,1,44
64,2,42
64,3,44
64,4,40
65,0,494
65,1,442
65,2,494
65,3,494
65,4,494
66,0,997
66,1,997
66,2,947
66,3,997
66,4,997
67,0,391
67,1,394
67,2,394
67,3,391
67,4,394
68,0,954
68,1,954
68,2,961
68,3,954
68,4,935
69,0,33
69,1,33
69,2,6
69,3,33
69,4,33
70,0,232
70,1,232
70,2,172
70,3,232
70,4,232
71,0,849
71,1,618
71,2,899
71,3,849
71,4,505
72,0,905
72,1,905
72,2,905
72,3,545
72,4,905
73,0,330
73,1,330
73,2,331
73,3,330
73,4,330
74,0,474
74,1,735
74,2,474
74,3,474
74,4,735
75,0,983
75,1,691
75,2,570
75,3,983
75,4,691
76,0,597
76,1,893
76,2,836
76,3,636
76,4,836
77,0,718
77,1,718
77,2,421
77,3,743
77,4,718
78,0,231
78,1,231
78,2,231
78,3,230
78,4,231
79,0,410
79,1,674
79,2,410
79,3,410
79,4,410
80,0,487
80,1,818
80,2,818
80,3,818
80,4,487
81,0,382
81,1,298
81,2,382
81,3,382
81,4,382
82,0,380
82,1,382
82,2,380
82,3,380
82,4,380
83,0,899
83,1,899
83,2,899
83,3,612
83,4,899
84,0,810
84,1,810
84,2,810
84,3,878
84,4,810
85,0,408
85,1,408
85,2,408
85,3,586
85,4,847
86,0,923
86,1,928
86,2,923
86,3,928
86,4,923
87,0,681
87,1,620
87,2,620
87,3,620
87,4,620
88,0,184
88,1,184
88,2,202
88,3,184
88,4,184
89,0,277
89,1,278
89,2,277
89,3,278
89,4,278
90,0,821
90,1,821
90,2,718
90,3,821
90,4,821
91,0,578
91,1,869
91,2,879
91,3,869
91,4,728
92,0,205
92,1,205
92,2,257
92,3,205
92,4,257
93,0,846
93,1,905
93,2,846
93,3,905
93,4,905
94,0,692
94,1,692
94,2,467
94,3,692
94,4,700
95,0,427
95,1,901
95,2,901
95,3,427
95,4,901
96,0,710
96,1,710
96,2,587
96,3,784
96,4,587
97,0,455
97,1,584
97,2,584
97,3,584
97,4,584
98,0,934
98,1,934
98,2,934
98,3,930
98,4,930
99,0,870
99,1,612
99,2,879
99,3,870
99,4,870
100,0,768
100,1,768
100,2,768
100,3,714
100,4,768
101,0,622
101,1,622
101,2,632
101,3,622
101,4,632
102,0,305
102,1,305
102,2,305
102,3,305
102,4,304
103,0,168
103,1,168
103,2,168
103,3,159
103,4,159
104,0,690
104,1,730
104,2,690
104,3,690
104,4,690
105,0,469
105,1,469
105,2,887
105,3,469
105,4,887
106,0,193
106,1,193
106,2,193
106,3,187
106,4,201
107,0,928
107,1,929
107,2,928
107,3,928
107,4,928
108,0,209
108,1,163
108,2,163
108,3,882
108,4,163
109,0,864
109,1,864
109,2,864
109,3,779
109,4,864
110,0,619
110,1,733
110,2,733
110,3,733
110,4,733
111,0,592
111,1,745
111,2,662
111,3,592
111,4,478
112,0,478
112,1,492
112,2,446
112,3,446
112,4,709
113,0,445
113,1,842
113,2,445
113,3,445
113,4,638
114,0,265
114,1,266
114,2,265
114,3,265
114,4,265
115,0,725
115,1,725
115,2,725
115,3,725
115,4,883
116,0,647
116,1,899
116,2,899
116,3,534
116,4,899
117,0,61
117,1,61
117,2,61
117,3,62
117,4,61
118,0,478
118,1,788
118,2,788
118,3,478
118,4,411
119,0,781
119,1,424
119,2,922
119,3,412
119,4,922
120,0,442
120,1,442
120,2,663
120,3,442
120,4,663
121,0,804
121,1,804
121,2,804
121,3,804
121,4,412
122,0,626
122,1,626
122,2,761
122,3,626
122,4,761
123,0,662
123,1,623
123,2,482
123,3,482
123,4,662
124,0,412
124,1,570
124,2,570
124,3,570
124,4,570
125,0,546
125,1,650
125,2,546
125,3,420
125,4,546
126,0,485
126,1,485
126,2,485
126,3,754
126,4,485
127,0,406
127,1,645
127,2,406
127,3,406
127,4,406
128,0,42
128,1,42
128,2,32
128,3,42
128,4,42
129,0,514
129,1,514
129,2,652
129,3,652
129,4,652
130,0,467
130,1,582
130,2,962
130,3,582
130,4,962
131,0,504
131,1,504
131,2,901
131,3,504
131,4,901
132,0,792
132,1,777
132,2,795
132,3,795
132,4,795
133,0,697
133,1,850
133,2,721
133,3,505
133,4,850
134,0,463
134,1,840
134,2,463
134,3,463
134,4,463
135,0,232
135,1,232
135,2,232
135,3,231
135,4,232
136,0,530
136,1,651
136,2,651
136,3,530
136,4,651
137,0,446
137,1,446
137,2,681
137,3,620
137,4,620
138,0,39
138,1,49
138,2,43
138,3,43
138,4,43
139,0,504
139,1,504
139,2,968
139,3,504
139,4,968
140,0,422
140,1,543
140,2,543
140,3,422
140,4,543
141,0,550
141,1,505
141,2,550
141,3,550
141,4,550
142,0,584
142,1,658
142,2,658
142,3,496
142,4,658
143,0,120
143,1,119
143,2,120
143,3,120
143,4,120
144,0,483
144,1,483
144,2,483
144,3,483
144,4,976
145,0,203
145,1,203
145,2,203
145,3,203
145,4,199
146,0,853
146,1,853
146,2,853
146,3,853
146,4,738
147,0,147
147,1,147
147,2,150
147,3,147
147,4,147
148,0,309
148,1,309
148,2,308
148,3,308
148,4,308
149,0,36
149,1,103
149,2,6
149,3,6
149,4,6
150,0,487
150,1,639
150,2,639
150,3,639
150,4,639
151,0,918
151,1,651
151,2,651
151,3,859
151,4,651
152,0,725
152,1,725
152,2,725
152,3,572
152,4,725
153,0,482
153,1,482
153,2,485
153,3,848
153,4,482
154,0,194
154,1,193
154,2,193
154,3,193
154,4,193
155,0,155
155,1,204
155,2,204
155,3,155
155,4,204
156,0,940
156,1,940
156,2,940
156,3,941
156,4,940
157,0,635
157,1,635
157,2,554
157,3,635
157,4,635
158,0,762
158,1,762
158,2,762
158,3,762
158,4,966
159,0,790
159,1,790
159,2,588
159,3,790
159,4,588
160,0,689
160,1,689
160,2,501
160,3,887
160,4,501
161,0,564
161,1,556
161,2,564
161,3,556
161,4,556
162,0,515
162,1,514
162,2,515
162,3,514
162,4,514
163,0,951
163,1,923
163,2,923
163,3,909
163,4,567
164,0,868
164,1,567
164,2,921
164,3,868
164,4,909
165,0,591
165,1,591
165,2,721
165,3,591
165,4,750
166,0,313
166,1,961
166,2,956
166,3,961
166,4,961
167,0,638
167,1,639
167,2,638
167,3,638
167,4,638
168,0,208
168,1,257
168,2,257
168,3,208
168,4,257
169,0,374
169,1,374
169,2,374
169,3,374
169,4,384
170,0,173
170,1,151
170,2,173
170,3,173
170,4,173
171,0,707
171,1,480
171,2,480
171,3,707
171,4,480
172,0,699
172,1,699
172,2,699
172,3,775
172,4,699
173,0,848
173,1,485
173,2,848
173,3,848
173,4,848
174,0,426
174,1,778
174,2,426
174,3,426
174,4,426
175,0,522
175,1,522
175,2,722
175,3,522
175,4,641
176,0,821
176,1,821
176,2,821
176,3,718
176,4,821
177,0,705
177,1,705
177,2,874
177,3,874
177,4,705
178,0,651
178,1,530
178,2,651
178,3,651
178,4,651
179,0,968
179,1,968
179,2,968
179,3,968
179,4,967
180,0,651
180,1,760
180,2,651
180,3,851
180,4,851
181,0,542
181,1,542
181,2,795
181,3,542
181,4,523
182,0,652
182,1,652
182,2,715
182,3,652
182,4,439
183,0,791
183,1,791
183,2,254
183,3,791
183,4,254
184,0,530
184,1,531
184,2,531
184,3,530
184,4,531
185,0,766
185,1,456
185,2,456
185,3,341
185,4,456
186,0,634
186,1,519
186,2,519
186,3,561
186,4,519
187,0,862
187,1,818
187,2,818
187,3,818
187,4,818
188,0,99
188,1,131
188,2,99
188,3,99
188,4,99
189,0,465
189,1,413
189,2,413
189,3,413
189,4,465
190,0,399
190,1,399
190,2,399
190,3,399
190,4,614
