item,truth
0,629
1,110
2,582
3,976
4,482
5,80
6,523
7,867
8,725
9,599
10,214
11,684
12,764
13,689
14,67
15,465
16,298
17,802
18,772
19,914
20,639
21,224
22,982
23,390
24,922
25,509
26,657
27,494
28,925
29,442
30,377
31,824
32,224
33,73
34,980
35,853
36,944
37,885
38,796
39,233
40,166
41,837
42,536
43,494
44,473
45,836
46,187
47,240
48,435
49,313
50,869
51,588
52,949
53,750
54,156
55,691
56,831
57,896
58,624
59,165
60,619
61,728
62,876
63,595
64,44
65,494
66,997
67,394
68,928
69,33
70,852
71,968
72,905
73,330
74,735
75,691
76,836
77,888
78,231
79,410
80,818
81,382
82,380
83,898
84,810
85,408
86,961
87,681
88,184
89,278
90,821
91,728
92,257
93,905
94,467
95,901
96,587
97,584
98,728
99,870
100,768
101,632
102,305
103,168
104,345
105,616
106,193
107,928
108,163
109,864
110,733
111,745
112,709
113,464
114,265
115,883
116,729
117,61
118,411
119,922
120,442
121,804
122,626
123,745
124,570
125,650
126,485
127,516
128,42
129,652
130,962
131,899
132,795
133,885
134,463
135,232
136,651
137,681
138,43
139,901
140,543
141,550
142,658
143,120
144,976
145,203
146,853
147,147
148,309
149,35
150,638
151,651
152,725
153,482
154,187
155,256
156,940
157,635
158,923
159,790
160,501
161,556
162,515
163,868
164,909
165,885
166,961
167,638
168,257
169,374
170,253
171,480
172,699
173,481
174,426
175,522
176,821
177,779
178,651
179,968
180,851
181,523
182,715
183,254
184,531
185,456
186,519
187,818
188,99
189,465
190,399
191,876
192,184
193,567
194,633
195,484
196,882
197,709
198,437
199,751
200,120
201,305
202,598
203,842
204,459
205,368
206,635
207,549
208,186
209,515
210,435
211,530
212,869
213,614
214,142
215,681
216,795
217,810
218,675
219,240
220,597
221,524
222,285
223,622
224,784
225,501
226,488
227,383
228,54
229,516
230,539
231,248
232,632
233,718
234,531
235,282
236,939
237,331
238,386
239,967
240,95
241,899
242,302
243,294
244,374
245,759
246,482
247,648
248,624
249,248
250,760
251,442
252,527
253,754
254,753
255,482
256,635
257,478
258,386
259,461
260,896
261,233
262,790
263,724
264,187
265,820
266,977
267,474
268,406
269,454
270,406
271,735
272,338
273,229
274,707
275,813
276,197
277,809
278,193
279,509
280,698
281,226
282,134
283,410
284,745
285,375
286,836
287,539
288,923
289,27
290,883
291,228
292,906
293,511
294,210
295,232
296,243
297,426
298,554
299,204
300,55
301,601
302,556
303,806
304,537
305,435
306,266
307,665
308,740
309,119
310,718
311,935
312,231
313,144
314,680
315,50
316,502
317,87
318,306
319,932
320,698
321,838
322,422
323,731
324,578
325,817
326,920
327,919
328,976
329,749
330,878
331,34
332,643
333,905
334,446
335,784
336,700
337,492
338,905
339,373
340,672
341,77
342,185
343,969
344,689
345,58
346,407
347,837
348,675
349,359
350,290
351,813
352,898
353,805
354,919
355,702
356,356
357,160
358,655
359,679
360,880
361,760
362,686
363,609
364,596
365,222
366,919
367,350
368,671
369,539
370,534
371,893
372,846
373,720
374,617
375,7
376,474
377,693
378,696
379,470
380,78
381,975
382,55
383,416
384,813
385,574
386,530
387,454
388,801
389,784
390,348
391,483
392,91
393,837
394,950
395,640
396,737
397,5
398,853
399,28
400,667
401,227
402,619
403,744
404,492
405,885
406,748
407,866
408,419
409,698
410,743
411,659
412,413
413,171
414,600
415,27
416,39
417,58
418,287
419,848
420,549
421,249
422,762
423,596
424,806
425,910
426,905
427,751
428,653
429,798
430,690
431,831
432,726
433,120
434,631
435,718
436,415
437,330
438,597
439,907
440,877
441,200
442,879
443,202
444,657
445,595
446,978
447,836
448,479
449,860
450,172
451,581
452,657
453,841
454,904
455,485
456,558
457,794
458,843
459,633
460,523
461,998
462,900
463,440
464,766
465,686
466,648
467,625
468,855
469,742
470,868
471,330
472,446
473,567
474,735
475,175
476,644
477,584
478,907
479,312
480,374
481,943
482,527
483,838
484,620
485,892
486,547
487,772
488,854
489,817
490,454
491,605
492,653
493,505
494,223
495,413
496,900
497,638
498,524
499,288
500,238
501,515
502,386
503,936
504,516
505,870
506,402
507,83
508,692
509,896
510,841
511,369
512,667
513,836
514,618
515,961
516,700
517,663
518,972
519,465
520,767
521,329
522,493
523,438
524,871
525,201
526,663
527,465
528,209
529,5
530,579
531,588
532,524
533,981
534,977
535,819
536,970
537,501
538,477
539,282
540,728
541,73
542,176
543,976
544,358
545,619
546,487
547,606
548,283
549,760
550,60
551,414
552,667
553,632
554,748
555,775
556,266
557,435
558,194
559,600
560,813
561,673
562,374
563,521
564,584
565,266
566,858
567,700
568,909
569,314
570,982
571,348
572,590
573,42
574,159
575,206
576,265
577,421
578,99
579,214
580,769
581,784
582,883
583,40
584,241
585,309
586,542
587,836
588,567
589,825
590,515
591,835
592,460
593,146
594,928
595,3
596,36
597,413
598,600
599,73
600,696
601,511
602,846
603,737
604,543
605,231
606,913
607,751
608,961
609,302
610,395
611,523
612,248
613,118
614,50
615,31
616,257
617,810
618,443
619,385
620,86
621,673
622,40
623,907
624,969
625,26
626,588
627,656
628,462
629,501
630,259
631,623
632,59
633,504
634,869
635,281
636,582
637,762
638,751
639,168
640,834
641,921
642,240
643,491
644,600
645,443
646,602
647,578
648,960
649,975
650,685
651,978
652,749
653,898
654,348
655,281
656,536
657,774
658,33
659,774
660,585
661,504
662,732
663,490
664,423
665,677
666,675
667,639
668,698
669,769
670,38
671,177
672,925
673,775
674,784
675,34
676,199
677,572
678,447
679,178
680,203
681,858
682,86
683,359
684,60
685,551
686,920
687,655
688,442
689,265
690,544
691,469
692,469
693,58
694,872
695,942
696,921
697,41
698,585
699,587
700,942
701,689
702,831
703,64
704,281
705,541
706,657
707,501
708,792
709,264
710,724
711,551
712,949
713,314
714,413
715,636
716,673
717,414
718,257
719,551
720,643
721,788
722,653
723,257
724,775
725,58
726,343
727,830
728,112
729,540
730,468
731,507
732,117
733,158
734,678
735,442
736,898
737,203
738,651
739,438
740,358
741,328
742,748
743,847
