item,worker,label
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,2
0,6,0
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
1,0,2
1,1,2
1,2,2
1,3,2
1,4,0
1,5,0
1,6,0
1,7,0
1,8,2
1,9,1
1,10,1
1,11,1
2,0,2
2,1,2
2,2,2
2,3,2
2,4,0
2,5,0
2,6,0
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
3,0,2
3,1,2
3,2,1
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,0
3,11,2
4,0,1
4,1,0
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,2
4,8,0
4,9,2
4,10,0
4,11,0
5,0,1
5,1,1
5,2,2
5,3,1
5,4,1
5,5,1
5,6,2
5,7,1
5,8,0
5,9,0
5,10,0
5,11,0
6,0,1
6,1,1
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
7,0,2
7,1,2
7,2,2
7,3,2
7,4,1
7,5,0
7,6,1
7,7,0
7,8,2
7,9,1
7,10,2
7,11,2
8,0,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,1
9,0,0
9,1,2
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,1
9,8,0
9,9,2
9,10,0
9,11,0
10,0,2
10,1,2
10,2,0
10,3,2
10,4,2
10,5,2
10,6,2
10,7,2
10,8,2
10,9,0
10,10,2
10,11,2
11,0,1
11,1,1
11,2,1
11,3,2
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,1
11,11,1
12,0,0
12,1,2
12,2,1
12,3,0
12,4,2
12,5,0
12,6,0
12,7,2
12,8,1
12,9,2
12,10,0
12,11,0
13,0,1
13,1,0
13,2,0
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,0
13,9,1
13,10,2
13,11,2
14,0,0
