item,worker,label
0,0,9
0,1,9
0,2,9
0,3,9
0,4,9
0,5,9
0,6,9
0,7,9
0,8,9
0,9,9
1,0,9
1,1,9
1,2,9
1,3,9
1,4,0
1,5,9
1,6,9
1,7,9
1,8,9
1,9,9
2,0,9
2,1,9
2,2,9
2,3,9
2,4,9
2,5,9
2,6,9
2,7,9
2,8,9
2,9,9
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
4,0,9
4,1,9
4,2,9
4,3,9
4,4,9
4,5,9
4,6,9
4,7,9
4,8,9
4,9,9
5,0,7
5,1,7
5,2,7
5,3,7
5,4,7
5,5,7
5,6,7
5,7,7
5,8,7
5,9,7
6,0,1
6,1,1
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
7,0,4
7,1,4
7,2,4
7,3,4
7,4,4
7,5,4
7,6,4
7,7,4
7,8,4
7,9,4
8,0,4
8,1,4
8,2,4
8,3,4
8,4,4
8,5,4
8,6,4
8,7,4
8,8,4
8,9,4
9,0,4
9,1,4
9,2,4
9,3,4
9,4,4
9,5,4
9,6,4
9,7,4
9,8,4
9,9,4
10,0,4
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
10,6,4
10,7,4
10,8,4
10,9,4
11,0,2
11,1,2
11,2,2
11,3,2
11,4,2
11,5,2
11,6,2
11,7,2
11,8,2
11,9,2
12,0,2
12,1,2
12,2,2
12,3,2
12,4,8
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
13,0,2
13,1,2
13,2,2
13,3,2
13,4,2
13,5,2
13,6,2
13,7,2
13,8,2
13,9,2
14,0,2
14,1,2
14,2,2
14,3,2
14,4,2
14,5,2
14,6,2
14,7,2
14,8,2
14,9,2
15,0,8
15,1,8
15,2,8
15,3,8
15,4,8
15,5,8
15,6,8
15,7,8
15,8,8
15,9,8
16,0,2
16,1,2
16,2,2
16,3,2
16,4,2
16,5,2
16,6,2
16,7,2
16,8,2
16,9,2
17,0,8
17,1,8
17,2,8
17,3,8
17,4,8
17,5,8
17,6,8
17,7,8
17,8,8
17,9,8
18,0,8
18,1,8
18,2,8
18,3,8
18,4,8
18,5,8
18,6,8
18,7,8
18,8,8
18,9,8
19,0,8
19,1,8
19,2,8
19,3,8
19,4,8
19,5,8
19,6,8
19,7,8
19,8,8
19,9,8
20,0,8
20,1,8
20,2,8
20,3,8
20,4,8
20,5,8
20,6,8
20,7,8
20,8,8
20,9,8
21,0,3
21,1,3
21,2,3
21,3,3
21,4,3
21,5,3
21,6,3
21,7,3
21,8,3
21,9,3
22,0,4
22,1,3
22,2,3
22,3,3
22,4,3
22,5,4
22,6,3
22,7,3
22,8,4
22,9,3
23,0,3
23,1,3
23,2,3
23,3,3
23,4,3
23,5,3
23,6,3
23,7,3
23,8,3
23,9,3
24,0,4
24,1,9
24,2,9
24,3,9
24,4,9
24,5,9
24,6,9
24,7,9
24,8,9
24,9,9
25,0,8
25,1,3
25,2,4
25,3,3
25,4,3
25,5,3
25,6,4
25,7,3
25,8,3
25,9,3
26,0,7
26,1,7
26,2,7
26,3,3
26,4,3
26,5,7
26,6,3
26,7,3
26,8,7
26,9,7
27,0,7
27,1,7
27,2,7
27,3,7
27,4,7
27,5,7
27,6,7
27,7,7
27,8,7
27,9,7
28,0,7
28,1,7
28,2,7
28,3,7
28,4,7
28,5,7
28,6,7
28,7,7
28,8,7
28,9,7
29,0,7
29,1,7
29,2,7
29,3,7
29,4,7
29,5,7
29,6,7
29,7,7
29,8,7
29,9,7
30,0,9
30,1,9
30,2,9
30,3,9
30,4,9
30,5,9
30,6,9
30,7,9
30,8,9
30,9,9
31,0,6
31,1,6
31,2,6
31,3,6
31,4,6
31,5,6
31,6,6
31,7,6
31,8,6
31,9,6
32,0,6
32,1,6
32,2,6
32,3,6
32,4,6
32,5,6
32,6,6
32,7,6
32,8,6
32,9,6
33,0,6
33,1,6
33,2,6
33,3,6
33,4,6
33,5,6
33,6,6
33,7,6
33,8,6
33,9,6
34,0,6
34,1,6
34,2,6
34,3,6
34,4,6
34,5,6
34,6,6
34,7,6
34,8,6
34,9,6
35,0,1
35,1,1
35,2,1
35,3,1
35,4,1
35,5,1
35,6,1
35,7,1
35,8,1
35,9,1
36,0,5
36,1,5
36,2,5
36,3,5
36,4,5
36,5,5
36,6,5
36,7,5
36,8,5
36,9,5
37,0,5
37,1,5
37,2,5
37,3,5
37,4,5
37,5,5
37,6,5
37,7,5
37,8,5
37,9,5
38,0,8
38,1,8
38,2,8
38,3,8
38,4,8
38,5,8
38,6,8
38,7,8
38,8,8
38,9,8
39,0,1
39,1,5
39,2,5
39,3,1
39,4,5
39,5,5
39,6,5
39,7,5
39,8,5
39,9,5
40,0,5
40,1,5
40,2,5
40,3,5
40,4,5
40,5,5
40,6,5
40,7,5
40,8,5
40,9,5
41,0,1
41,1,1
41,2,1
41,3,1
41,4,1
41,5,1
41,6,1
41,7,1
41,8,1
41,9,1
42,0,1
42,1,1
42,2,1
42,3,1
42,4,1
42,5,1
42,6,1
42,7,1
42,8,1
42,9,1
43,0,1
43,1,1
43,2,1
43,3,1
43,4,1
43,5,1
43,6,1
43,7,1
43,8,1
43,9,1
44,0,1
44,1,1
44,2,1
44,3,1
44,4,1
44,5,1
44,6,1
44,7,1
44,8,1
44,9,1
45,0,1
45,1,1
45,2,1
45,3,1
45,4,1
45,5,1
45,6,1
45,7,1
45,8,1
45,9,1
46,0,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
46,7,0
46,8,0
46,9,0
47,0,0
47,1,0
47,2,0
47,3,0
47,4,0
47,5,0
47,6,0
47,7,0
47,8,0
47,9,0
48,0,0
48,1,0
48,2,0
