item,truth
0,9
1,9
2,9
3,9
4,9
5,9
6,4
7,4
8,4
9,4
10,4
11,2
12,2
13,2
14,2
15,8
16,8
17,8
18,8
19,8
20,8
21,3
22,3
23,3
24,3
25,3
26,7
27,7
28,7
29,7
30,7
31,6
32,6
33,6
34,6
35,6
36,5
37,5
38,5
39,5
40,5
41,1
42,1
43,1
44,1
45,1
46,0
47,0
48,0
49,0
50,9
51,9
52,9
53,9
54,9
55,9
56,4
57,4
58,4
59,4
60,4
61,2
62,2
63,2
64,2
65,8
66,8
67,8
68,8
69,8
70,8
71,3
72,3
73,3
74,3
75,3
76,7
77,7
78,7
79,7
80,6
81,6
82,6
83,6
84,6
85,6
86,5
87,5
88,5
89,5
90,5
91,1
92,1
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,9
101,9
102,9
103,9
104,9
105,4
106,4
107,4
108,4
109,4
110,4
111,2
112,2
113,2
114,2
115,8
116,8
117,8
118,8
119,8
120,8
121,3
122,3
123,3
124,3
125,3
126,7
127,7
128,7
129,7
130,6
131,6
132,6
133,6
134,6
135,6
136,5
137,5
138,5
139,5
140,5
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,9
151,9
152,9
153,9
154,9
155,4
156,4
157,4
158,4
159,4
160,4
161,2
162,2
163,2
164,2
165,8
166,8
167,8
168,8
169,8
170,3
171,3
172,3
173,3
174,3
175,3
176,7
177,7
178,7
179,7
180,6
181,6
182,6
183,6
184,6
185,5
186,5
187,5
188,5
189,5
190,5
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,9
201,9
202,9
203,9
204,9
205,4
206,4
207,4
208,4
209,4
210,4
211,2
212,2
213,2
214,2
215,8
216,8
217,8
218,8
219,8
220,3
221,3
222,3
223,3
224,3
225,7
226,7
227,7
228,7
229,7
230,6
231,6
232,6
233,6
234,6
235,5
236,5
237,5
238,5
239,5
240,5
241,1
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,9
251,9
252,9
253,9
254,9
255,4
256,4
257,4
258,4
259,4
260,4
261,2
262,2
263,2
264,2
265,8
266,8
267,8
268,8
269,8
270,3
271,3
272,3
273,3
274,3
275,7
276,7
277,7
278,7
279,7
280,6
281,6
282,6
283,6
284,6
285,5
286,5
287,5
288,5
289,5
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,9
301,9
302,9
303,9
304,9
305,4
306,4
307,4
308,4
309,4
310,4
311,2
312,2
313,2
314,8
315,8
316,8
317,8
318,8
319,8
320,3
321,3
322,3
323,3
324,3
325,7
326,7
327,7
328,7
329,7
330,6
331,6
332,6
333,6
334,6
335,5
336,5
337,5
338,5
339,5
340,1
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,9
351,9
352,9
353,9
354,9
355,4
356,4
357,4
358,4
359,4
360,4
361,2
362,2
363,2
364,8
365,8
366,8
367,8
368,8
369,8
370,3
371,3
372,3
373,3
374,3
375,7
376,7
377,7
378,7
379,7
380,6
381,6
382,6
383,6
384,6
385,5
386,5
387,5
388,5
389,5
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,9
401,9
402,9
403,9
404,9
