item,worker,label
0,0,9
0,1,9
0,2,9
0,3,9
0,4,9
0,5,9
0,6,9
0,7,9
0,8,9
1,0,9
1,1,9
1,2,9
1,3,9
1,4,9
1,5,9
1,6,9
1,7,9
1,8,9
2,0,9
2,1,9
2,2,9
2,3,9
2,4,9
2,5,9
2,6,9
2,7,9
2,8,9
3,0,9
3,1,9
3,2,9
3,3,9
3,4,9
3,5,9
3,6,9
3,7,9
3,8,9
4,0,5
4,1,5
4,2,5
4,3,10
4,4,5
4,5,5
4,6,5
4,7,5
4,8,5
5,0,5
5,1,5
5,2,5
5,3,10
5,4,5
5,5,5
5,6,5
5,7,5
5,8,5
6,0,5
6,1,5
6,2,5
6,3,5
6,4,5
6,5,5
6,6,5
6,7,5
6,8,5
7,0,2
7,1,12
7,2,12
7,3,0
7,4,1
7,5,7
7,6,0
7,7,12
7,8,12
8,0,12
8,1,12
8,2,12
8,3,0
8,4,12
8,5,1
8,6,12
8,7,12
8,8,12
9,0,19
9,1,19
9,2,19
9,3,19
9,4,19
9,5,4
9,6,19
9,7,19
9,8,19
10,0,19
10,1,19
10,2,19
10,3,19
10,4,19
10,5,19
10,6,19
10,7,19
10,8,19
11,0,19
11,1,19
11,2,19
11,3,19
11,4,19
11,5,19
11,6,19
11,7,19
11,8,19
12,0,10
12,1,10
12,2,10
12,3,10
12,4,10
12,5,10
12,6,10
12,7,10
12,8,10
13,0,10
13,1,10
13,2,10
13,3,10
13,4,10
13,5,10
13,6,10
13,7,10
13,8,10
14,0,10
14,1,10
14,2,10
14,3,10
14,4,10
14,5,10
14,6,10
14,7,10
14,8,10
15,0,10
15,1,10
15,2,10
15,3,10
15,4,10
15,5,10
15,6,10
15,7,10
15,8,10
16,0,10
16,1,10
16,2,10
16,3,10
16,4,10
16,5,10
16,6,10
16,7,10
16,8,10
17,0,7
17,1,7
17,2,7
17,3,9
17,4,7
17,5,5
17,6,7
17,7,7
17,8,7
18,0,7
18,1,7
18,2,7
18,3,7
18,4,7
18,5,7
18,6,7
18,7,7
18,8,7
19,0,7
19,1,7
19,2,7
19,3,7
19,4,7
19,5,10
19,6,7
19,7,7
19,8,7
20,0,15
20,1,15
20,2,15
20,3,10
20,4,15
20,5,15
20,6,15
20,7,15
20,8,15
21,0,15
21,1,15
21,2,15
21,3,10
21,4,15
21,5,4
21,6,15
21,7,15
21,8,15
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
25,0,0
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
26,0,11
26,1,11
26,2,11
26,3,11
26,4,11
26,5,11
26,6,11
26,7,11
26,8,11
27,0,11
27,1,11
27,2,11
27,3,11
27,4,11
27,5,11
27,6,11
27,7,11
27,8,11
28,0,11
28,1,11
28,2,11
28,3,11
28,4,11
28,5,11
28,6,11
28,7,11
28,8,11
29,0,16
29,1,16
29,2,16
29,3,11
29,4,16
29,5,11
29,6,16
29,7,16
29,8,16
30,0,16
30,1,16
30,2,16
30,3,11
30,4,16
30,5,11
30,6,16
30,7,16
30,8,16
31,0,1
31,1,1
31,2,1
31,3,1
31,4,1
31,5,1
31,6,1
31,7,1
31,8,1
32,0,11
32,1,1
32,2,1
32,3,1
32,4,1
32,5,7
32,6,4
32,7,11
32,8,1
33,0,1
33,1,1
33,2,1
33,3,1
33,4,1
33,5,1
33,6,1
33,7,1
33,8,1
34,0,1
34,1,1
34,2,1
34,3,0
34,4,1
34,5,1
34,6,1
34,7,1
34,8,1
35,0,17
35,1,17
35,2,17
35,3,10
35,4,17
35,5,17
35,6,17
35,7,17
35,8,17
36,0,17
36,1,17
36,2,17
36,3,17
36,4,17
36,5,17
36,6,17
36,7,17
36,8,17
37,0,2
37,1,2
37,2,2
37,3,2
37,4,2
37,5,2
37,6,2
37,7,2
37,8,2
38,0,2
38,1,2
38,2,2
38,3,2
38,4,2
38,5,2
38,6,2
38,7,2
38,8,2
39,0,2
39,1,2
39,2,2
39,3,2
39,4,2
39,5,2
39,6,2
39,7,2
39,8,2
40,0,6
40,1,6
40,2,6
40,3,10
40,4,6
40,5,5
40,6,7
40,7,6
40,8,6
41,0,6
41,1,6
41,2,6
41,3,3
41,4,6
41,5,17
41,6,6
41,7,6
41,8,6
42,0,13
42,1,13
42,2,13
42,3,19
42,4,13
42,5,10
42,6,13
42,7,13
42,8,13
43,0,13
43,1,13
43,2,13
43,3,2
43,4,13
43,5,13
43,6,13
43,7,13
43,8,13
44,0,13
44,1,13
44,2,13
44,3,3
44,4,13
44,5,10
44,6,13
44,7,13
44,8,13
45,0,14
45,1,14
45,2,14
45,3,14
45,4,14
45,5,14
45,6,14
45,7,14
45,8,14
46,0,14
46,1,14
46,2,14
46,3,14
46,4,14
46,5,14
46,6,14
46,7,14
46,8,14
47,0,4
47,1,4
47,2,4
47,3,10
47,4,4
47,5,4
47,6,4
47,7,4
47,8,4
48,0,4
48,1,4
48,2,4
48,3,11
48,4,4
48,5,4
48,6,4
48,7,4
48,8,4
49,0,4
49,1,4
49,2,4
49,3,11
49,4,4
49,5,4
49,6,4
49,7,4
49,8,4
50,0,8
50,1,8
50,2,8
50,3,9
50,4,8
50,5,9
50,6,8
50,7,8
50,8,8
51,0,8
51,1,8
51,2,8
51,3,9
51,4,8
51,5,9
51,6,8
51,7,8
51,8,8
52,0,3
52,1,3
52,2,3
52,3,3
52,4,3
52,5,3
52,6,3
52,7,3
52,8,3
53,0,3
53,1,3
53,2,3
53,3,3
53,4,3
53,5,3
