item,worker,label
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,3
11,10,0
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
15,0,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,10,0
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
20,0,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
25,0,0
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
26,0,0
26,1,0
26,2,0
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
28,0,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
29,0,0
29,1,0
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
30,0,0
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
30,8,0
30,9,0
30,10,0
31,0,0
31,1,0
31,2,0
31,3,0
31,4,0
31,5,0
31,6,0
31,7,0
31,8,0
31,9,0
31,10,0
32,0,3
32,1,3
32,2,3
32,3,3
32,4,3
32,5,3
32,6,3
32,7,3
32,8,3
32,9,3
32,10,3
33,0,3
33,1,3
33,2,3
33,3,3
33,4,3
33,5,3
33,6,3
33,7,3
33,8,3
33,9,3
33,10,3
34,0,3
34,1,3
34,2,3
34,3,3
34,4,3
34,5,3
34,6,3
34,7,3
34,8,3
34,9,3
34,10,3
35,0,3
35,1,3
35,2,3
35,3,3
35,4,3
35,5,3
35,6,3
35,7,3
35,8,3
35,9,3
35,10,3
36,0,3
36,1,3
36,2,3
36,3,3
36,4,3
36,5,3
36,6,3
36,7,3
36,8,3
36,9,3
36,10,3
37,0,3
37,1,3
37,2,3
37,3,3
37,4,3
37,5,3
37,6,3
37,7,3
37,8,3
37,9,3
37,10,3
38,0,3
38,1,3
38,2,3
38,3,3
38,4,3
38,5,3
38,6,3
38,7,3
38,8,3
38,9,3
38,10,3
39,0,3
39,1,3
39,2,3
39,3,3
39,4,3
39,5,3
39,6,3
39,7,3
39,8,3
39,9,3
39,10,3
40,0,3
40,1,3
40,2,3
40,3,3
40,4,3
40,5,3
40,6,3
40,7,3
40,8,3
40,9,3
40,10,3
41,0,3
41,1,3
41,2,3
41,3,3
41,4,3
41,5,3
41,6,3
41,7,3
41,8,3
41,9,3
41,10,3
42,0,3
42,1,3
42,2,3
42,3,3
42,4,3
42,5,3
42,6,3
42,7,3
42,8,3
42,9,3
42,10,3
43,0,3
43,1,3
43,2,3
43,3,3
43,4,3
43,5,3
43,6,3
43,7,3
43,8,3
43,9,3
43,10,3
44,0,3
44,1,3
44,2,3
44,3,3
44,4,3
44,5,3
44,6,3
44,7,3
44,8,3
44,9,3
44,10,3
45,0,3
45,1,3
45,2,3
45,3,3
45,4,3
45,5,3
45,6,3
45,7,3
45,8,3
45,9,3
45,10,3
46,0,3
46,1,3
46,2,3
46,3,3
46,4,3
46,5,3
46,6,3
46,7,3
46,8,3
46,9,3
46,10,3
47,0,3
47,1,3
47,2,3
47,3,3
47,4,3
47,5,3
47,6,3
47,7,3
47,8,3
47,9,3
47,10,3
48,0,3
48,1,3
48,2,3
48,3,3
48,4,3
48,5,3
48,6,3
48,7,3
48,8,3
48,9,3
48,10,3
49,0,1
49,1,1
49,2,1
49,3,1
49,4,1
49,5,1
49,6,1
49,7,1
49,8,1
49,9,1
49,10,1
50,0,1
50,1,1
50,2,1
50,3,1
50,4,1
50,5,1
50,6,1
50,7,1
50,8,1
50,9,1
50,10,1
51,0,1
51,1,1
51,2,1
51,3,1
51,4,1
51,5,1
51,6,1
51,7,1
51,8,1
51,9,1
51,10,1
52,0,1
52,1,1
52,2,1
52,3,1
52,4,1
52,5,1
52,6,1
52,7,1
52,8,1
52,9,1
52,10,1
53,0,1
53,1,1
53,2,1
53,3,1
53,4,1
53,5,1
53,6,1
53,7,1
53,8,1
53,9,1
53,10,1
54,0,1
54,1,1
54,2,1
54,3,1
54,4,1
54,5,1
54,6,1
54,7,1
54,8,1
54,9,1
54,10,1
55,0,1
55,1,1
55,2,1
55,3,1
55,4,1
55,5,1
55,6,1
55,7,1
55,8,1
55,9,1
55,10,1
56,0,1
56,1,1
56,2,1
56,3,1
56,4,1
56,5,1
