item,worker,label
0,0,6
0,1,6
0,2,6
0,3,6
0,4,6
0,5,6
0,6,6
0,7,2
0,8,6
0,9,6
0,10,6
1,0,6
1,1,6
1,2,6
1,3,6
1,4,6
1,5,6
1,6,6
1,7,2
1,8,6
1,9,6
1,10,6
2,0,6
2,1,6
2,2,6
2,3,6
2,4,6
2,5,6
2,6,6
2,7,2
2,8,6
2,9,6
2,10,6
3,0,6
3,1,6
3,2,6
3,3,6
3,4,6
3,5,6
3,6,6
3,7,6
3,8,6
3,9,6
3,10,6
4,0,6
4,1,6
4,2,6
4,3,6
4,4,6
4,5,6
4,6,6
4,7,2
4,8,6
4,9,6
4,10,6
5,0,6
5,1,6
5,2,6
5,3,6
5,4,6
5,5,6
5,6,6
5,7,2
5,8,6
5,9,6
5,10,6
6,0,6
6,1,6
6,2,6
6,3,6
6,4,6
6,5,6
6,6,6
6,7,2
6,8,6
6,9,6
6,10,6
7,0,6
7,1,6
7,2,6
7,3,6
7,4,6
7,5,6
7,6,6
7,7,2
7,8,6
7,9,6
7,10,6
8,0,6
8,1,6
8,2,6
8,3,6
8,4,6
8,5,6
8,6,6
8,7,2
8,8,6
8,9,6
8,10,6
9,0,6
9,1,6
9,2,6
9,3,6
9,4,6
9,5,6
9,6,6
9,7,7
9,8,6
9,9,6
9,10,6
10,0,6
10,1,6
10,2,6
10,3,6
10,4,6
10,5,6
10,6,6
10,7,2
10,8,6
10,9,6
10,10,6
11,0,6
11,1,6
11,2,6
11,3,6
11,4,6
11,5,6
11,6,6
11,7,6
11,8,6
11,9,6
11,10,6
12,0,6
12,1,6
12,2,6
12,3,6
12,4,6
12,5,6
12,6,6
12,7,2
12,8,6
12,9,6
12,10,6
13,0,6
13,1,6
13,2,6
13,3,6
13,4,6
13,5,6
13,6,6
13,7,2
13,8,6
13,9,6
13,10,6
14,0,6
14,1,6
14,2,6
14,3,6
14,4,6
14,5,6
14,6,6
14,7,2
14,8,6
14,9,6
14,10,6
15,0,6
15,1,6
15,2,6
15,3,6
15,4,6
15,5,6
15,6,6
15,7,0
15,8,6
15,9,6
15,10,6
16,0,6
16,1,6
16,2,6
16,3,6
16,4,6
16,5,6
16,6,6
16,7,2
16,8,6
16,9,6
16,10,6
17,0,6
17,1,6
17,2,6
17,3,6
17,4,6
17,5,6
17,6,6
17,7,0
17,8,6
17,9,6
17,10,6
18,0,6
18,1,6
18,2,6
18,3,6
18,4,6
18,5,6
18,6,6
18,7,2
18,8,6
18,9,6
18,10,6
19,0,6
19,1,6
19,2,6
19,3,6
19,4,6
19,5,6
19,6,6
19,7,2
19,8,6
19,9,6
19,10,6
20,0,6
20,1,6
20,2,6
20,3,6
20,4,6
20,5,6
20,6,6
20,7,2
20,8,6
20,9,6
20,10,6
21,0,6
21,1,6
21,2,6
21,3,6
21,4,6
21,5,6
21,6,6
21,7,0
21,8,6
21,9,6
21,10,6
22,0,6
22,1,6
22,2,6
22,3,6
22,4,6
22,5,6
22,6,6
22,7,2
22,8,6
22,9,6
22,10,6
23,0,6
23,1,6
23,2,6
23,3,6
23,4,6
23,5,6
23,6,6
23,7,2
23,8,6
23,9,6
23,10,6
24,0,6
24,1,6
24,2,6
24,3,6
24,4,6
24,5,6
24,6,6
24,7,2
24,8,6
24,9,6
24,10,6
25,0,6
25,1,6
25,2,6
25,3,6
25,4,6
25,5,6
25,6,6
25,7,2
25,8,6
25,9,6
25,10,6
26,0,6
26,1,6
26,2,6
26,3,6
26,4,6
26,5,6
26,6,6
26,7,0
26,8,6
26,9,6
26,10,6
27,0,6
27,1,6
27,2,6
27,3,6
27,4,6
27,5,6
27,6,6
27,7,2
27,8,6
27,9,6
27,10,6
28,0,6
28,1,6
28,2,6
28,3,6
28,4,6
28,5,6
28,6,6
28,7,2
28,8,6
28,9,6
28,10,6
29,0,6
29,1,6
29,2,6
29,3,6
29,4,6
29,5,6
29,6,6
29,7,6
29,8,6
29,9,6
29,10,6
30,0,6
30,1,6
30,2,6
30,3,6
30,4,6
30,5,6
30,6,6
30,7,2
30,8,6
30,9,6
30,10,6
31,0,6
31,1,6
31,2,6
31,3,6
31,4,6
31,5,6
31,6,6
31,7,2
31,8,6
31,9,6
31,10,6
32,0,6
32,1,6
32,2,6
32,3,6
32,4,6
32,5,6
32,6,6
32,7,2
32,8,6
32,9,6
32,10,6
33,0,6
33,1,6
33,2,6
33,3,6
33,4,6
33,5,6
33,6,6
33,7,2
33,8,6
33,9,6
33,10,6
34,0,0
34,1,0
34,2,0
34,3,0
34,4,0
34,5,0
34,6,0
34,7,0
34,8,0
34,9,0
34,10,0
35,0,0
35,1,0
35,2,0
35,3,0
35,4,0
35,5,0
35,6,0
35,7,2
35,8,0
35,9,0
35,10,0
36,0,0
36,1,0
36,2,0
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,0
36,10,0
37,0,0
37,1,0
37,2,0
37,3,0
37,4,0
37,5,0
37,6,0
37,7,2
37,8,0
37,9,0
37,10,0
38,0,0
38,1,0
38,2,0
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
38,10,0
39,0,0
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
39,10,0
40,0,0
40,1,0
40,2,0
40,3,0
40,4,0
40,5,0
40,6,0
40,7,2
40,8,0
40,9,0
40,10,0
41,0,0
41,1,0
41,2,0
41,3,0
41,4,0
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
41,10,0
42,0,0
42,1,0
42,2,0
42,3,0
42,4,0
42,5,0
42,6,0
42,7,2
42,8,0
42,9,0
42,10,0
43,0,0
43,1,0
43,2,0
43,3,0
43,4,0
43,5,0
43,6,0
43,7,2
43,8,0
43,9,0
43,10,0
44,0,0
44,1,0
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,1
44,8,0
44,9,0
44,10,0
45,0,0
45,1,0
45,2,0
45,3,0
45,4,0
45,5,0
45,6,0
45,7,2
45,8,0
45,9,0
45,10,0
46,0,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
46,7,7
46,8,0
46,9,0
46,10,0
47,0,0
47,1,0
47,2,0
47,3,0
47,4,0
47,5,0
47,6,0
47,7,2
47,8,0
47,9,0
47,10,0
48,0,0
48,1,0
48,2,0
48,3,0
48,4,0
48,5,0
48,6,0
48,7,0
48,8,0
48,9,0
48,10,0
49,0,0
49,1,0
49,2,0
49,3,0
49,4,0
49,5,0
49,6,0
49,7,0
49,8,0
49,9,0
49,10,0
