item,worker,label
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,0
0,8,2
0,9,2
0,10,2
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,0
1,8,1
1,9,0
1,10,1
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,0,1
3,1,2
3,2,2
3,3,1
3,4,2
3,5,2
3,6,1
3,7,2
3,8,2
3,9,2
3,10,2
4,0,1
4,1,2
4,2,0
4,3,1
4,4,0
4,5,0
4,6,1
4,7,0
4,8,2
4,9,2
4,10,2
5,0,2
5,1,2
5,2,2
5,3,2
5,4,2
5,5,2
5,6,2
5,7,2
5,8,2
5,9,2
5,10,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,2
6,8,0
6,9,0
6,10,0
7,0,0
7,1,0
7,2,2
7,3,0
7,4,2
7,5,2
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
9,0,2
9,1,2
9,2,2
9,3,2
9,4,2
9,5,2
9,6,2
9,7,0
9,8,2
9,9,2
9,10,2
10,0,0
10,1,2
10,2,0
10,3,2
10,4,0
10,5,0
10,6,0
10,7,0
10,8,2
10,9,0
10,10,2
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
12,0,2
12,1,2
12,2,2
12,3,2
12,4,2
12,5,0
12,6,0
12,7,1
12,8,2
12,9,2
12,10,2
13,0,0
13,1,0
13,2,2
13,3,0
13,4,0
13,5,0
13,6,2
13,7,0
13,8,0
13,9,0
13,10,2
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
15,0,0
15,1,2
15,2,2
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,2
15,9,2
15,10,2
16,0,0
16,1,0
16,2,0
16,3,0
16,4,1
16,5,1
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
18,0,2
18,1,2
18,2,2
18,3,2
18,4,0
18,5,2
18,6,2
18,7,2
18,8,2
18,9,0
18,10,2
19,0,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,2
19,8,0
19,9,0
19,10,0
20,0,0
20,1,2
20,2,2
20,3,0
20,4,2
20,5,2
20,6,2
20,7,2
20,8,2
20,9,2
20,10,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,2
23,8,0
23,9,0
23,10,0
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
25,0,0
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
26,0,0
26,1,0
26,2,0
26,3,0
26,4,0
26,5,2
26,6,0
26,7,2
26,8,0
26,9,2
26,10,0
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
28,0,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
29,0,0
29,1,0
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
30,0,0
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,2
30,7,1
30,8,2
30,9,0
30,10,0
31,0,0
31,1,0
31,2,0
31,3,0
31,4,0
31,5,0
31,6,0
31,7,1
31,8,0
31,9,0
31,10,0
32,0,0
32,1,0
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,1
32,8,0
32,9,0
32,10,2
33,0,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,0
33,8,0
33,9,0
33,10,0
34,0,2
34,1,1
34,2,2
34,3,2
34,4,2
34,5,1
34,6,2
34,7,2
34,8,2
34,9,2
34,10,1
35,0,2
35,1,2
35,2,2
35,3,2
35,4,2
35,5,2
35,6,2
35,7,0
35,8,2
35,9,2
35,10,2
36,0,0
36,1,0
36,2,0
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,0
36,10,0
37,0,0
37,1,0
37,2,2
37,3,0
37,4,2
37,5,2
37,6,2
37,7,0
37,8,0
37,9,2
37,10,0
38,0,0
38,1,0
38,2,0
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
38,10,0
39,0,0
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
39,10,0
40,0,0
40,1,2
40,2,2
40,3,2
40,4,2
40,5,2
40,6,0
40,7,0
40,8,2
40,9,2
40,10,2
41,0,2
41,1,2
41,2,2
41,3,2
41,4,2
41,5,2
41,6,2
41,7,2
41,8,2
41,9,2
41,10,2
42,0,1
42,1,1
42,2,1
42,3,1
42,4,1
42,5,1
42,6,1
42,7,0
42,8,1
42,9,1
42,10,1
43,0,0
43,1,0
43,2,0
43,3,0
43,4,0
43,5,0
43,6,0
43,7,0
43,8,0
43,9,0
43,10,0
44,0,0
44,1,0
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,0
44,8,0
44,9,0
44,10,0
45,0,0
45,1,0
45,2,0
45,3,0
45,4,0
45,5,0
45,6,0
45,7,0
45,8,0
45,9,0
45,10,0
46,0,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
46,7,0
46,8,0
46,9,0
46,10,1
47,0,2
47,1,2
47,2,2
47,3,2
47,4,0
47,5,2
47,6,2
47,7,1
47,8,2
47,9,2
47,10,2
48,0,0
48,1,0
48,2,0
48,3,0
48,4,0
48,5,0
48,6,0
48,7,0
48,8,0
48,9,0
48,10,0
49,0,0
49,1,2
49,2,0
49,3,2
49,4,0
49,5,0
49,6,0
49,7,0
49,8,2
49,9,2
49,10,2
50,0,2
50,1,2
50,2,2
50,3,2
50,4,2
50,5,2
50,6,2
50,7,2
50,8,2
50,9,2
50,10,2
51,0,0
51,1,0
51,2,0
51,3,0
51,4,0
51,5,0
51,6,0
51,7,0
51,8,0
51,9,0
51,10,0
52,0,2
52,1,2
52,2,2
52,3,2
52,4,0
52,5,2
52,6,2
52,7,0
52,8,2
52,9,2
52,10,2
53,0,2
53,1,0
53,2,2
53,3,2
53,4,0
53,5,2
53,6,2
53,7,2
53,8,2
53,9,2
53,10,0
54,0,2
54,1,2
54,2,2
54,3,2
54,4,2
54,5,2
54,6,2
54,7,2
54,8,2
54,9,2
54,10,2
55,0,0
55,1,2
55,2,0
55,3,0
55,4,2
55,5,0
55,6,0
55,7,0
55,8,0
55,9,0
55,10,2
56,0,2
56,1,1
56,2,1
56,3,2
56,4,0
56,5,1
56,6,0
56,7,0
56,8,2
56,9,0
56,10,1
57,0,2
57,1,2
57,2,2
57,3,2
57,4,2
57,5,2
57,6,0
57,7,2
57,8,2
57,9,2
57,10,0
58,0,2
58,1,2
58,2,2
58,3,2
58,4,2
58,5,2
58,6,2
58,7,2
58,8,2
58,9,2
58,10,2
59,0,0
59,1,0
59,2,0
59,3,0
59,4,1
59,5,0
59,6,0
59,7,0
59,8,0
59,9,0
59,10,0
60,0,0
60,1,0
60,2,0
60,3,0
60,4,0
60,5,0
60,6,0
60,7,0
60,8,0
60,9,0
60,10,0
61,0,0
61,1,0
61,2,2
61,3,2
61,4,2
61,5,2
61,6,2
61,7,2
61,8,2
61,9,2
61,10,2
