item,worker,label
0,0,6
0,1,21
0,2,21
0,3,6
0,4,24
0,5,21
0,6,6
0,7,21
0,8,6
0,9,6
1,0,13
1,1,13
1,2,13
1,3,5
1,4,13
1,5,9
1,6,12
1,7,13
1,8,21
1,9,9
2,0,9
2,1,12
2,2,10
2,3,28
2,4,10
2,5,28
2,6,10
2,7,9
2,8,9
2,9,10
3,0,8
3,1,23
3,2,8
3,3,8
3,4,8
3,5,8
3,6,3
3,7,8
3,8,8
3,9,8
4,0,23
4,1,23
4,2,23
4,3,23
4,4,23
4,5,23
4,6,8
4,7,23
4,8,23
4,9,23
5,0,6
5,1,8
5,2,15
5,3,6
5,4,8
5,5,6
5,6,6
5,7,6
5,8,8
5,9,6
6,0,6
6,1,23
6,2,8
6,3,23
6,4,18
6,5,6
6,6,6
6,7,23
6,8,23
6,9,23
7,0,23
7,1,0
7,2,23
7,3,23
7,4,0
7,5,0
7,6,1
7,7,0
7,8,23
7,9,0
8,0,21
8,1,23
8,2,0
8,3,0
8,4,0
8,5,0
8,6,21
8,7,0
8,8,0
8,9,8
9,0,23
9,1,8
9,2,23
9,3,23
9,4,23
9,5,23
9,6,6
9,7,23
9,8,23
9,9,23
10,0,23
10,1,23
10,2,23
10,3,23
10,4,23
10,5,7
10,6,7
10,7,23
10,8,23
10,9,23
11,0,21
11,1,6
11,2,6
11,3,21
11,4,5
11,5,21
11,6,1
11,7,2
11,8,21
11,9,6
12,0,19
12,1,15
12,2,19
12,3,19
12,4,28
12,5,19
12,6,4
12,7,19
12,8,19
12,9,19
13,0,4
13,1,19
13,2,19
13,3,19
13,4,19
13,5,4
13,6,0
13,7,19
13,8,19
13,9,19
14,0,6
14,1,19
14,2,19
14,3,6
14,4,2
14,5,19
14,6,15
14,7,5
14,8,4
14,9,19
15,0,0
15,1,19
15,2,4
15,3,0
15,4,4
15,5,4
15,6,0
15,7,4
15,8,19
15,9,4
16,0,23
16,1,20
16,2,19
16,3,4
16,4,23
16,5,20
16,6,2
16,7,19
16,8,19
16,9,19
17,0,21
17,1,0
17,2,19
17,3,19
17,4,19
17,5,15
17,6,1
17,7,21
17,8,15
17,9,19
18,0,27
18,1,13
18,2,9
18,3,27
18,4,9
18,5,25
18,6,12
18,7,10
18,8,27
18,9,9
19,0,24
19,1,24
19,2,24
19,3,27
19,4,24
