item,worker,label
0,0,4
0,1,4
0,2,4
0,3,4
0,4,4
0,5,4
0,6,4
0,7,4
0,8,4
0,9,4
0,10,4
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,2
1,8,3
1,9,3
1,10,3
2,0,4
2,1,4
2,2,4
2,3,4
2,4,4
2,5,4
2,6,4
2,7,4
2,8,4
2,9,4
2,10,4
3,0,4
3,1,4
3,2,4
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
4,0,4
4,1,3
4,2,4
4,3,4
4,4,4
4,5,4
4,6,4
4,7,3
4,8,4
4,9,4
4,10,4
5,0,3
5,1,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,7,3
5,8,3
5,9,3
5,10,3
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
6,5,4
6,6,4
6,7,4
6,8,4
6,9,4
6,10,4
7,0,4
7,1,4
7,2,4
7,3,4
7,4,4
7,5,4
7,6,4
7,7,0
7,8,4
7,9,4
7,10,0
8,0,4
8,1,4
8,2,4
8,3,4
8,4,4
8,5,4
8,6,4
8,7,4
8,8,4
8,9,4
8,10,4
9,0,4
9,1,4
9,2,4
9,3,4
9,4,4
9,5,4
9,6,4
9,7,3
9,8,4
9,9,4
9,10,4
10,0,4
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
10,6,4
10,7,4
10,8,4
10,9,4
10,10,4
11,0,4
11,1,4
11,2,0
11,3,4
11,4,4
11,5,3
11,6,3
11,7,0
11,8,3
11,9,3
11,10,3
12,0,4
12,1,4
12,2,4
12,3,4
12,4,4
12,5,4
12,6,4
12,7,4
12,8,4
12,9,4
12,10,4
13,0,4
13,1,4
13,2,4
13,3,4
13,4,4
13,5,4
13,6,4
13,7,4
13,8,4
13,9,4
13,10,4
14,0,4
14,1,4
14,2,4
14,3,4
14,4,4
14,5,4
14,6,4
14,7,4
14,8,4
14,9,4
14,10,4
15,0,4
15,1,4
15,2,4
15,3,4
15,4,4
15,5,4
15,6,4
15,7,4
15,8,4
15,9,4
15,10,4
16,0,4
16,1,4
16,2,4
16,3,4
16,4,4
16,5,4
16,6,4
16,7,4
16,8,4
16,9,4
16,10,4
17,0,4
17,1,3
17,2,4
17,3,4
17,4,3
17,5,3
17,6,4
17,7,3
17,8,3
17,9,3
17,10,3
18,0,0
18,1,4
18,2,0
18,3,4
18,4,0
18,5,0
18,6,0
18,7,0
18,8,4
18,9,4
18,10,0
19,0,4
19,1,3
19,2,4
19,3,4
19,4,3
19,5,3
19,6,4
19,7,4
19,8,3
19,9,4
19,10,4
20,0,3
20,1,3
20,2,3
20,3,2
20,4,3
20,5,0
20,6,0
20,7,2
20,8,2
20,9,0
20,10,3
21,0,3
21,1,0
21,2,3
21,3,3
21,4,3
21,5,3
21,6,0
21,7,2
21,8,3
21,9,3
21,10,0
22,0,3
22,1,3
22,2,3
22,3,3
22,4,3
22,5,3
22,6,3
22,7,0
22,8,3
22,9,3
22,10,3
23,0,3
23,1,3
23,2,3
23,3,3
23,4,3
23,5,3
23,6,3
23,7,0
23,8,3
23,9,3
23,10,3
24,0,3
24,1,3
24,2,3
24,3,3
24,4,3
24,5,3
24,6,3
24,7,2
24,8,3
24,9,3
24,10,0
25,0,3
25,1,3
25,2,3
25,3,0
25,4,3
25,5,3
25,6,3
25,7,3
25,8,3
25,9,3
25,10,3
26,0,2
26,1,0
26,2,2
26,3,2
26,4,2
26,5,2
26,6,2
26,7,0
26,8,2
26,9,2
26,10,0
27,0,3
27,1,3
27,2,3
27,3,3
27,4,3
27,5,3
27,6,3
27,7,3
27,8,3
27,9,3
27,10,3
28,0,4
28,1,0
28,2,4
28,3,3
28,4,3
28,5,4
28,6,3
28,7,2
28,8,3
28,9,3
28,10,4
29,0,2
29,1,1
29,2,2
29,3,2
29,4,1
29,5,0
29,6,1
29,7,1
29,8,1
29,9,2
29,10,1
30,0,2
30,1,1
30,2,2
30,3,2
30,4,1
30,5,1
30,6,2
30,7,1
30,8,2
30,9,1
30,10,1
31,0,2
31,1,2
31,2,1
31,3,2
31,4,2
31,5,2
31,6,1
31,7,1
31,8,2
31,9,2
31,10,1
32,0,1
32,1,1
32,2,1
32,3,1
32,4,1
32,5,1
32,6,1
32,7,1
32,8,1
32,9,1
32,10,1
33,0,2
33,1,1
33,2,2
33,3,2
33,4,2
33,5,2
33,6,2
33,7,1
33,8,2
33,9,2
33,10,1
34,0,2
34,1,1
34,2,2
34,3,1
34,4,2
34,5,1
34,6,2
34,7,2
34,8,2
34,9,2
34,10,1
35,0,1
35,1,1
35,2,1
35,3,1
35,4,1
35,5,1
35,6,1
35,7,4
35,8,1
35,9,1
35,10,1
36,0,2
36,1,1
36,2,1
36,3,1
36,4,2
36,5,1
36,6,1
36,7,2
36,8,2
36,9,1
36,10,1
37,0,1
37,1,1
37,2,1
37,3,1
37,4,1
37,5,1
37,6,1
37,7,1
37,8,1
37,9,1
37,10,1
38,0,1
38,1,1
38,2,1
38,3,1
38,4,1
38,5,2
38,6,1
38,7,2
38,8,1
38,9,1
38,10,1
39,0,2
39,1,1
39,2,2
39,3,1
39,4,1
39,5,2
39,6,1
39,7,2
39,8,2
39,9,1
39,10,1
40,0,2
40,1,2
40,2,2
40,3,2
40,4,2
40,5,2
40,6,2
40,7,1
40,8,2
40,9,2
40,10,2
41,0,2
41,1,2
41,2,2
41,3,2
41,4,2
41,5,2
41,6,2
41,7,0
41,8,2
41,9,2
41,10,2
42,0,2
42,1,2
42,2,2
42,3,2
42,4,2
42,5,2
42,6,2
42,7,1
42,8,2
42,9,1
42,10,2
43,0,2
43,1,2
43,2,2
43,3,2
43,4,2
43,5,2
43,6,0
43,7,2
43,8,2
43,9,2
43,10,2
44,0,2
44,1,2
44,2,2
44,3,2
44,4,2
44,5,2
44,6,2
44,7,2
44,8,2
44,9,2
44,10,2
45,0,2
45,1,0
45,2,0
45,3,2
45,4,0
45,5,0
45,6,2
45,7,2
45,8,0
45,9,0
45,10,2
46,0,0
46,1,2
46,2,2
46,3,2
46,4,2
46,5,0
46,6,2
46,7,2
46,8,2
46,9,2
46,10,0
47,0,2
47,1,1
47,2,1
47,3,2
47,4,2
47,5,2
47,6,2
47,7,1
47,8,2
47,9,2
47,10,2
48,0,2
48,1,2
48,2,2
48,3,2
48,4,2
48,5,2
48,6,2
48,7,2
48,8,2
48,9,2
48,10,2
49,0,2
49,1,2
49,2,2
49,3,2
49,4,2
49,5,2
49,6,2
49,7,3
49,8,2
49,9,2
49,10,2
50,0,2
50,1,2
50,2,2
50,3,2
50,4,2
50,5,2
50,6,2
50,7,2
50,8,2
50,9,2
50,10,2
51,0,2
51,1,2
51,2,2
51,3,2
51,4,2
51,5,2
51,6,2
51,7,2
51,8,2
51,9,2
51,10,2
52,0,2
52,1,2
52,2,2
52,3,2
52,4,2
52,5,2
52,6,2
52,7,2
52,8,2
52,9,2
52,10,2
53,0,2
53,1,2
53,2,2
53,3,2
53,4,2
53,5,2
53,6,2
53,7,2
53,8,2
53,9,2
53,10,2
54,0,2
54,1,2
54,2,2
54,3,2
54,4,2
54,5,2
54,6,2
54,7,2
54,8,2
54,9,2
54,10,2
55,0,2
55,1,2
55,2,2
55,3,0
55,4,2
55,5,2
55,6,2
55,7,1
55,8,2
55,9,2
55,10,2
56,0,2
56,1,2
56,2,2
56,3,2
56,4,2
56,5,1
56,6,2
56,7,2
56,8,2
56,9,2
56,10,2
57,0,2
57,1,2
57,2,2
57,3,2
57,4,2
57,5,2
57,6,0
57,7,2
57,8,2
57,9,2
57,10,2
58,0,2
58,1,2
58,2,2
58,3,2
58,4,2
58,5,2
58,6,2
58,7,0
58,8,2
58,9,2
58,10,2
59,0,1
59,1,2
59,2,1
59,3,2
59,4,1
59,5,1
59,6,2
59,7,2
59,8,1
59,9,1
