item,worker,label
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
1,0,2
1,1,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
3,0,7
3,1,2
3,2,7
3,3,7
3,4,2
3,5,2
3,6,3
3,7,7
3,8,7
3,9,2
4,0,3
4,1,2
4,2,3
4,3,3
4,4,3
4,5,3
4,6,2
4,7,3
4,8,2
4,9,3
5,0,2
5,1,2
5,2,2
5,3,2
5,4,2
5,5,2
5,6,2
5,7,2
5,8,2
5,9,2
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,2
7,0,2
7,1,2
7,2,2
7,3,2
7,4,2
7,5,2
7,6,2
7,7,2
7,8,2
7,9,2
8,0,8
8,1,2
8,2,8
8,3,8
8,4,8
8,5,8
8,6,2
8,7,8
8,8,8
8,9,8
9,0,2
9,1,8
9,2,2
9,3,2
9,4,2
9,5,2
9,6,2
9,7,2
9,8,2
9,9,2
10,0,2
10,1,2
10,2,2
10,3,2
10,4,2
10,5,2
10,6,2
10,7,2
10,8,2
10,9,2
11,0,2
11,1,8
11,2,2
11,3,8
11,4,2
11,5,8
11,6,2
11,7,8
11,8,8
11,9,2
12,0,2
12,1,2
12,2,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
13,0,2
13,1,2
13,2,2
13,3,2
13,4,2
13,5,2
13,6,2
13,7,2
13,8,2
13,9,2
14,0,2
14,1,2
14,2,2
14,3,2
14,4,2
14,5,2
14,6,2
14,7,2
14,8,2
14,9,2
15,0,2
15,1,2
15,2,2
15,3,2
15,4,2
15,5,2
15,6,2
15,7,2
15,8,2
15,9,2
16,0,7
16,1,7
16,2,7
16,3,7
16,4,2
16,5,2
16,6,2
16,7,7
16,8,7
16,9,2
17,0,2
17,1,8
17,2,8
17,3,8
17,4,2
17,5,2
17,6,2
17,7,8
17,8,8
17,9,8
18,0,2
18,1,2
18,2,2
18,3,2
18,4,2
18,5,2
18,6,2
18,7,2
18,8,2
18,9,2
19,0,2
19,1,0
19,2,2
19,3,2
19,4,2
19,5,2
19,6,2
19,7,2
19,8,2
19,9,2
20,0,3
20,1,2
20,2,3
20,3,3
20,4,3
20,5,3
20,6,2
20,7,3
20,8,3
20,9,3
21,0,2
21,1,2
21,2,2
21,3,2
21,4,2
21,5,2
21,6,2
21,7,2
21,8,2
21,9,2
22,0,6
22,1,6
22,2,6
22,3,6
22,4,6
22,5,6
22,6,6
22,7,6
22,8,6
22,9,6
23,0,2
23,1,2
23,2,2
23,3,2
23,4,2
23,5,2
23,6,2
23,7,2
23,8,2
23,9,2
24,0,2
24,1,2
24,2,2
24,3,2
24,4,2
24,5,2
24,6,2
24,7,2
24,8,2
24,9,2
25,0,2
25,1,2
25,2,2
25,3,2
25,4,2
25,5,2
25,6,2
25,7,2
25,8,2
25,9,2
26,0,3
26,1,3
26,2,2
26,3,2
26,4,2
26,5,3
26,6,2
26,7,2
26,8,2
26,9,3
27,0,2
27,1,2
27,2,2
27,3,2
27,4,2
27,5,2
27,6,2
27,7,2
27,8,2
27,9,2
28,0,8
28,1,8
28,2,8
28,3,8
28,4,8
28,5,8
28,6,2
28,7,8
28,8,8
28,9,8
29,0,2
29,1,2
29,2,2
29,3,2
29,4,2
29,5,2
29,6,2
29,7,2
29,8,2
29,9,2
30,0,2
30,1,2
30,2,2
30,3,2
30,4,2
30,5,2
30,6,2
30,7,2
30,8,2
30,9,2
31,0,3
31,1,2
31,2,3
31,3,2
31,4,3
31,5,3
31,6,2
31,7,2
31,8,2
31,9,3
32,0,2
32,1,2
32,2,2
32,3,2
32,4,2
32,5,2
32,6,2
32,7,2
32,8,2
32,9,2
33,0,2
33,1,2
33,2,2
33,3,2
33,4,2
33,5,2
33,6,2
33,7,2
33,8,2
33,9,2
34,0,2
34,1,8
34,2,2
34,3,2
34,4,8
34,5,8
34,6,2
34,7,2
34,8,2
34,9,2
35,0,9
35,1,9
35,2,9
35,3,9
35,4,9
35,5,9
35,6,9
35,7,9
35,8,9
35,9,9
36,0,8
36,1,8
36,2,8
36,3,8
36,4,8
36,5,8
36,6,8
36,7,8
36,8,8
36,9,8
37,0,6
37,1,6
37,2,6
37,3,6
37,4,6
37,5,6
37,6,6
37,7,6
37,8,6
37,9,6
38,0,3
38,1,4
38,2,3
38,3,3
38,4,3
38,5,3
38,6,3
38,7,3
38,8,3
38,9,3
39,0,0
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
40,0,8
40,1,8
40,2,8
40,3,8
40,4,8
40,5,8
40,6,8
40,7,8
40,8,8
40,9,8
41,0,6
41,1,6
41,2,6
41,3,6
41,4,6
41,5,6
41,6,6
41,7,6
41,8,6
41,9,6
42,0,3
42,1,3
42,2,3
42,3,3
42,4,3
42,5,3
42,6,3
42,7,3
42,8,3
42,9,3
43,0,2
43,1,2
43,2,2
43,3,2
43,4,2
43,5,2
43,6,2
43,7,2
43,8,2
43,9,8
44,0,8
44,1,8
44,2,8
44,3,8
44,4,8
44,5,8
44,6,8
44,7,8
44,8,8
44,9,8
45,0,8
45,1,8
45,2,8
45,3,8
45,4,8
45,5,8
45,6,8
45,7,8
45,8,8
45,9,8
46,0,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
46,7,0
46,8,0
46,9,0
47,0,6
47,1,6
47,2,6
47,3,6
47,4,6
47,5,6
47,6,6
47,7,6
47,8,6
47,9,6
48,0,8
48,1,8
48,2,8
48,3,8
48,4,8
48,5,8
48,6,8
48,7,8
48,8,8
48,9,8
49,0,8
49,1,8
49,2,8
49,3,8
49,4,8
49,5,8
49,6,8
49,7,8
49,8,8
49,9,8
50,0,8
50,1,8
50,2,8
50,3,2
50,4,2
50,5,2
50,6,2
50,7,8
50,8,8
50,9,2
51,0,8
51,1,8
51,2,8
51,3,8
51,4,8
51,5,8
51,6,8
51,7,8
51,8,8
51,9,8
52,0,2
52,1,8
52,2,2
52,3,2
52,4,2
52,5,8
52,6,2
52,7,2
52,8,2
52,9,8
53,0,6
53,1,6
53,2,6
53,3,6
53,4,6
53,5,6
53,6,6
53,7,6
53,8,6
53,9,6
54,0,8
54,1,8
54,2,8
54,3,8
54,4,8
54,5,8
54,6,8
54,7,8
54,8,8
54,9,8
55,0,8
55,1,8
55,2,8
55,3,8
55,4,8
55,5,8
55,6,8
55,7,8
55,8,8
55,9,8
56,0,2
56,1,7
56,2,3
56,3,3
56,4,3
56,5,3
56,6,2
56,7,3
56,8,3
56,9,3
57,0,9
57,1,9
57,2,9
57,3,9
57,4,9
57,5,9
57,6,9
57,7,9
57,8,9
57,9,9
58,0,9
58,1,9
58,2,9
58,3,9
58,4,9
58,5,9
58,6,9
58,7,9
58,8,9
58,9,9
59,0,0
59,1,0
59,2,0
59,3,0
59,4,0
59,5,0
59,6,0
59,7,0
59,8,0
59,9,0
60,0,8
60,1,8
60,2,8
60,3,8
60,4,8
60,5,8
60,6,9
60,7,8
60,8,8
60,9,8
61,0,2
61,1,2
61,2,2
61,3,2
61,4,2
61,5,2
61,6,2
61,7,2
61,8,2
61,9,2
62,0,8
62,1,9
62,2,8
62,3,4
62,4,8
62,5,8
62,6,8
62,7,8
62,8,8
62,9,8
63,0,8
63,1,8
63,2,8
63,3,8
63,4,8
63,5,8
63,6,8
63,7,8
63,8,8
63,9,8
64,0,3
64,1,7
64,2,7
64,3,7
64,4,7
64,5,7
64,6,7
64,7,7
64,8,7
64,9,3
65,0,5
65,1,9
65,2,5
65,3,5
65,4,3
65,5,5
65,6,5
65,7,5
65,8,5
65,9,5
66,0,3
66,1,3
66,2,3
66,3,3
66,4,3
66,5,3
66,6,3
66,7,3
66,8,3
66,9,3
67,0,3
67,1,3
67,2,3
67,3,3
67,4,3
67,5,3
67,6,3
67,7,3
67,8,3
67,9,3
68,0,3
68,1,3
