item,worker,label
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,3
1,8,3
1,9,3
2,0,1
2,1,3
2,2,3
2,3,1
2,4,3
2,5,3
2,6,1
2,7,3
2,8,3
2,9,3
3,0,3
3,1,3
3,2,3
3,3,3
3,4,3
3,5,3
3,6,3
3,7,3
3,8,3
3,9,3
4,0,3
4,1,3
4,2,3
4,3,3
4,4,3
4,5,3
4,6,3
4,7,3
4,8,3
4,9,3
5,0,2
5,1,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,7,3
5,8,3
5,9,3
6,0,3
6,1,3
6,2,3
6,3,3
6,4,3
6,5,3
6,6,3
6,7,3
6,8,3
6,9,3
7,0,3
7,1,3
7,2,3
7,3,3
7,4,3
7,5,3
7,6,3
7,7,3
7,8,3
7,9,3
8,0,3
8,1,3
8,2,3
8,3,3
8,4,3
8,5,3
8,6,3
8,7,3
8,8,3
8,9,3
9,0,3
9,1,3
9,2,3
9,3,3
9,4,3
9,5,3
9,6,3
9,7,3
9,8,3
9,9,3
10,0,3
10,1,3
10,2,3
10,3,3
10,4,3
10,5,3
10,6,3
10,7,3
10,8,3
10,9,3
11,0,3
11,1,3
11,2,3
11,3,3
11,4,3
11,5,3
11,6,3
11,7,3
11,8,3
11,9,3
12,0,3
12,1,3
12,2,3
12,3,3
12,4,3
12,5,3
12,6,3
12,7,3
12,8,3
12,9,3
13,0,3
13,1,3
13,2,3
13,3,3
13,4,3
13,5,3
13,6,3
13,7,3
13,8,3
13,9,3
14,0,3
14,1,3
14,2,3
14,3,3
14,4,3
14,5,3
14,6,3
14,7,3
14,8,3
14,9,3
15,0,3
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
15,6,3
15,7,3
15,8,3
15,9,3
16,0,3
16,1,3
16,2,3
16,3,3
16,4,3
16,5,3
16,6,3
16,7,3
16,8,3
16,9,3
17,0,3
17,1,3
17,2,3
17,3,3
17,4,3
17,5,3
17,6,3
17,7,3
17,8,3
17,9,3
18,0,3
18,1,3
18,2,3
18,3,3
18,4,3
18,5,3
18,6,3
18,7,3
18,8,3
18,9,3
19,0,3
19,1,3
19,2,3
19,3,3
19,4,3
19,5,3
19,6,3
19,7,3
19,8,3
19,9,3
20,0,6
20,1,6
20,2,6
20,3,6
20,4,6
20,5,6
20,6,6
20,7,6
20,8,6
20,9,6
21,0,6
21,1,6
21,2,6
21,3,6
21,4,6
21,5,6
21,6,6
21,7,6
21,8,6
21,9,6
22,0,6
22,1,6
22,2,6
22,3,6
22,4,6
22,5,6
22,6,6
22,7,6
22,8,6
22,9,6
23,0,4
23,1,6
23,2,6
23,3,6
23,4,6
23,5,6
23,6,6
23,7,6
23,8,6
23,9,6
24,0,6
24,1,6
24,2,6
24,3,6
24,4,6
24,5,6
24,6,6
24,7,6
24,8,6
24,9,6
25,0,6
25,1,6
25,2,6
25,3,6
25,4,6
25,5,6
25,6,6
25,7,6
25,8,6
25,9,6
26,0,6
26,1,6
26,2,6
26,3,6
26,4,6
26,5,6
26,6,6
26,7,6
26,8,6
26,9,6
27,0,6
27,1,6
27,2,6
27,3,6
27,4,6
27,5,6
27,6,6
27,7,6
27,8,6
27,9,6
28,0,6
28,1,6
28,2,6
28,3,6
28,4,6
28,5,6
28,6,6
28,7,6
28,8,6
28,9,6
29,0,6
29,1,6
29,2,6
29,3,6
29,4,6
29,5,6
29,6,6
29,7,6
29,8,6
29,9,6
30,0,9
30,1,6
30,2,6
30,3,6
30,4,6
30,5,6
30,6,6
30,7,6
30,8,6
30,9,6
31,0,6
31,1,6
31,2,6
31,3,6
31,4,6
31,5,6
31,6,6
31,7,6
31,8,6
31,9,6
32,0,6
32,1,6
32,2,6
32,3,6
32,4,6
32,5,6
32,6,6
32,7,6
32,8,6
32,9,6
33,0,6
33,1,6
33,2,6
33,3,6
33,4,6
33,5,6
33,6,6
33,7,6
33,8,6
33,9,6
34,0,6
34,1,6
34,2,6
34,3,6
