item,worker,label
0,0,8
0,1,12
0,2,12
0,3,12
0,4,12
0,5,12
0,6,12
0,7,12
0,8,14
1,0,8
1,1,12
1,2,12
1,3,12
1,4,12
1,5,12
1,6,12
1,7,12
1,8,12
2,0,8
2,1,12
2,2,12
2,3,12
2,4,8
2,5,8
2,6,11
2,7,12
2,8,12
3,0,8
3,1,1
3,2,1
3,3,1
3,4,1
3,5,19
3,6,1
3,7,1
3,8,1
4,0,8
4,1,1
4,2,1
4,3,1
4,4,1
4,5,19
4,6,1
4,7,1
4,8,1
5,0,0
5,1,1
5,2,1
5,3,1
5,4,19
5,5,19
5,6,1
5,7,1
5,8,1
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
11,0,0
11,1,3
11,2,3
11,3,3
11,4,3
11,5,0
11,6,3
11,7,3
11,8,3
12,0,8
12,1,3
12,2,3
12,3,3
12,4,3
12,5,0
12,6,3
12,7,3
12,8,6
13,0,8
13,1,13
13,2,13
13,3,13
13,4,13
13,5,13
13,6,13
13,7,13
13,8,13
14,0,0
14,1,13
14,2,13
14,3,16
14,4,17
14,5,8
14,6,8
14,7,13
14,8,14
15,0,8
15,1,13
15,2,13
15,3,13
15,4,13
15,5,13
15,6,13
15,7,13
15,8,13
16,0,0
16,1,13
16,2,13
16,3,13
16,4,13
16,5,8
16,6,13
16,7,13
16,8,13
17,0,8
17,1,13
17,2,13
17,3,13
17,4,13
17,5,13
17,6,13
17,7,13
17,8,13
18,0,8
18,1,8
18,2,8
18,3,8
18,4,8
18,5,8
18,6,8
18,7,8
18,8,8
19,0,8
19,1,8
19,2,8
19,3,8
19,4,8
19,5,8
19,6,8
19,7,8
19,8,8
20,0,8
20,1,8
20,2,8
20,3,8
20,4,8
20,5,8
20,6,8
20,7,8
20,8,8
21,0,8
21,1,8
21,2,8
21,3,8
21,4,8
21,5,8
21,6,8
21,7,8
21,8,8
22,0,8
22,1,8
22,2,8
22,3,8
22,4,7
22,5,6
22,6,8
22,7,8
22,8,5
23,0,8
23,1,8
23,2,8
23,3,8
23,4,7
23,5,8
23,6,8
23,7,8
23,8,6
24,0,8
24,1,5
24,2,5
24,3,5
24,4,5
24,5,8
24,6,6
24,7,5
24,8,5
25,0,8
25,1,5
25,2,5
25,3,5
25,4,14
25,5,8
25,6,5
25,7,5
25,8,5
26,0,0
26,1,16
26,2,16
26,3,16
26,4,16
26,5,16
26,6,16
26,7,16
26,8,16
27,0,8
27,1,6
27,2,6
27,3,6
27,4,8
27,5,8
27,6,6
27,7,6
27,8,8
28,0,8
28,1,6
28,2,6
28,3,6
28,4,6
28,5,6
28,6,6
28,7,6
28,8,6
29,0,8
29,1,6
29,2,6
29,3,6
29,4,6
29,5,6
29,6,6
29,7,6
29,8,6
30,0,8
30,1,14
30,2,14
30,3,14
30,4,14
30,5,14
30,6,14
30,7,14
30,8,14
31,0,0
31,1,14
31,2,13
31,3,13
31,4,17
31,5,8
31,6,13
31,7,8
31,8,12
32,0,8
32,1,14
32,2,14
32,3,14
32,4,14
32,5,14
32,6,14
32,7,14
32,8,14
33,0,8
33,1,11
33,2,11
33,3,11
33,4,11
33,5,12
33,6,11
33,7,11
33,8,11
34,0,8
34,1,11
34,2,11
34,3,11
34,4,11
34,5,12
34,6,11
34,7,11
34,8,11
35,0,8
35,1,11
35,2,11
35,3,11
35,4,11
35,5,12
35,6,11
35,7,11
35,8,11
36,0,8
36,1,7
36,2,7
36,3,7
36,4,7
36,5,8
36,6,7
36,7,7
36,8,7
37,0,8
37,1,7
37,2,8
37,3,8
37,4,6
37,5,5
37,6,8
37,7,8
37,8,6
38,0,8
38,1,7
38,2,7
38,3,7
38,4,7
38,5,7
38,6,7
38,7,7
38,8,7
39,0,8
39,1,17
39,2,18
39,3,17
39,4,18
39,5,17
39,6,17
39,7,18
39,8,18
40,0,8
40,1,10
40,2,10
40,3,10
40,4,10
40,5,9
40,6,10
40,7,10
40,8,10
41,0,8
41,1,10
41,2,10
41,3,10
41,4,10
41,5,9
41,6,10
41,7,10
41,8,10
42,0,8
42,1,2
42,2,2
42,3,2
42,4,2
42,5,4
42,6,2
42,7,2
42,8,2
43,0,8
43,1,2
43,2,2
43,3,2
43,4,2
43,5,18
43,6,2
43,7,2
43,8,18
44,0,0
44,1,2
44,2,2
44,3,2
44,4,2
44,5,4
44,6,2
44,7,2
44,8,2
45,0,8
45,1,9
45,2,9
45,3,9
45,4,9
45,5,9
45,6,9
45,7,9
45,8,9
46,0,8
46,1,9
46,2,9
46,3,9
46,4,5
46,5,9
46,6,9
46,7,9
46,8,9
47,0,8
47,1,9
47,2,9
47,3,9
47,4,9
47,5,9
47,6,9
47,7,9
47,8,9
48,0,8
48,1,17
48,2,17
48,3,17
48,4,17
48,5,17
48,6,17
48,7,17
48,8,17
49,0,0
49,1,17
49,2,17
49,3,17
49,4,17
49,5,17
49,6,18
49,7,17
49,8,17
50,0,0
50,1,4
50,2,4
50,3,4
50,4,4
50,5,4
50,6,4
50,7,4
50,8,4
51,0,0
51,1,4
51,2,4
51,3,4
51,4,4
51,5,4
51,6,4
51,7,4
51,8,4
52,0,0
52,1,4
52,2,4
52,3,4
52,4,2
52,5,4
52,6,4
52,7,4
52,8,4
53,0,0
53,1,19
53,2,19
53,3,19
53,4,1
53,5,1
53,6,1
53,7,19
53,8,19
54,0,8
54,1,19
54,2,19
54,3,19
54,4,19
54,5,19
54,6,19
54,7,19
54,8,19
55,0,8
55,1,19
55,2,19
55,3,19
55,4,19
55,5,19
55,6,19
55,7,19
55,8,19
56,0,0
56,1,15
56,2,15
56,3,15
56,4,8
56,5,15
56,6,15
56,7,15
56,8,15
57,0,8
57,1,12
57,2,11
57,3,11
57,4,15
57,5,12
57,6,12
57,7,11
57,8,12
58,0,8
58,1,12
58,2,12
58,3,11
58,4,12
58,5,12
58,6,12
58,7,12
58,8,12
59,0,8
59,1,12
59,2,12
59,3,12
59,4,12
59,5,11
59,6,12
59,7,12
59,8,12
60,0,8
60,1,1
60,2,1
60,3,1
60,4,1
60,5,1
60,6,1
60,7,1
60,8,1
61,0,8
61,1,1
61,2,1
61,3,1
61,4,1
61,5,19
61,6,1
61,7,1
61,8,1
62,0,8
62,1,0
62,2,0
62,3,0
62,4,0
62,5,8
62,6,0
62,7,0
62,8,0
63,0,0
63,1,0
63,2,0
63,3,0
63,4,0
63,5,8
63,6,0
63,7,0
63,8,0
64,0,0
64,1,0
64,2,0
64,3,0
64,4,0
64,5,0
64,6,0
64,7,0
64,8,0
65,0,0
65,1,0
65,2,0
65,3,0
65,4,0
65,5,0
65,6,0
65,7,0
65,8,0
66,0,0
66,1,0
66,2,0
66,3,0
66,4,0
66,5,0
66,6,0
66,7,0
66,8,0
67,0,0
67,1,3
67,2,3
67,3,3
67,4,3
67,5,0
67,6,3
67,7,3
67,8,3
68,0,0
68,1,3
68,2,3
68,3,3
68,4,3
68,5,0
68,6,3
68,7,3
68,8,3
69,0,0
69,1,3
69,2,3
69,3,3
69,4,3
69,5,0
69,6,3
69,7,3
69,8,0
70,0,0
70,1,13
70,2,13
70,3,13
70,4,16
70,5,13
70,6,13
70,7,13
70,8,6
71,0,0
71,1,13
71,2,13
71,3,13
71,4,13
71,5,0
71,6,13
71,7,13
71,8,13
72,0,8
72,1,13
72,2,13
72,3,13
72,4,13
72,5,13
72,6,13
72,7,13
72,8,13
73,0,8
73,1,13
73,2,13
73,3,13
73,4,13
73,5,8
73,6,13
73,7,13
73,8,13
74,0,8
74,1,13
74,2,13
74,3,13
74,4,13
74,5,8
74,6,13
74,7,13
74,8,13
75,0,8
75,1,8
75,2,8
75,3,8
75,4,8
75,5,8
75,6,8
75,7,8
75,8,8
76,0,8
76,1,8
76,2,8
76,3,8
76,4,8
76,5,8
76,6,8
76,7,8
76,8,8
77,0,8
77,1,6
77,2,8
77,3,5
77,4,8
77,5,5
77,6,6
77,7,5
77,8,8
78,0,8
78,1,8
78,2,8
78,3,13
78,4,8
78,5,8
78,6,8
78,7,8
78,8,8
79,0,8
79,1,8
79,2,8
79,3,8
79,4,8
79,5,8
79,6,8
79,7,8
79,8,8
80,0,0
80,1,8
80,2,8
80,3,13
80,4,8
80,5,17
80,6,8
80,7,8
80,8,8
81,0,8
81,1,7
81,2,5
81,3,8
81,4,5
81,5,8
81,6,8
81,7,5
81,8,8
82,0,8
82,1,5
82,2,5
82,3,8
82,4,5
82,5,8
82,6,5
82,7,5
82,8,5
83,0,8
83,1,16
83,2,16
83,3,16
83,4,16
83,5,16
83,6,16
83,7,16
83,8,16
84,0,8
84,1,6
84,2,6
84,3,6
84,4,6
84,5,8
84,6,6
84,7,6
84,8,6
85,0,8
85,1,6
85,2,6
85,3,6
85,4,6
85,5,8
85,6,6
85,7,6
85,8,6
86,0,8
86,1,8
86,2,7
86,3,5
86,4,7
86,5,7
86,6,5
86,7,7
86,8,6
87,0,8
87,1,14
87,2,14
87,3,14
87,4,14
87,5,14
87,6,14
87,7,14
87,8,14
88,0,8
88,1,14
88,2,14
88,3,14
88,4,14
88,5,14
88,6,14
88,7,14
88,8,14
89,0,8
89,1,14
89,2,14
89,3,14
89,4,14
89,5,14
89,6,14
89,7,14
89,8,14
90,0,8
90,1,11
90,2,11
90,3,11
90,4,11
90,5,11
90,6,11
90,7,11
90,8,11
91,0,8
91,1,11
91,2,11
91,3,11
91,4,11
91,5,11
91,6,11
91,7,11
91,8,11
92,0,8
92,1,11
92,2,11
92,3,11
92,4,2
92,5,11
92,6,11
92,7,11
92,8,7
93,0,8
93,1,6
93,2,8
93,3,8
93,4,8
93,5,8
93,6,8
93,7,8
93,8,6
94,0,8
94,1,7
94,2,7
94,3,7
94,4,7
94,5,7
94,6,7
94,7,7
94,8,7
95,0,8
95,1,7
95,2,7
95,3,7
95,4,13
95,5,7
95,6,7
95,7,7
95,8,7
96,0,0
96,1,17
96,2,17
96,3,17
96,4,17
96,5,19
96,6,17
96,7,17
96,8,0
97,0,0
97,1,10
97,2,10
97,3,10
97,4,10
97,5,9
97,6,10
97,7,10
97,8,10
98,0,8
98,1,10
98,2,10
98,3,10
98,4,10
98,5,9
98,6,10
98,7,10
98,8,10
99,0,8
99,1,2
99,2,2
99,3,2
99,4,2
99,5,2
99,6,2
99,7,2
99,8,2
100,0,0
100,1,2
100,2,2
100,3,2
100,4,4
100,5,4
100,6,2
100,7,2
100,8,4
101,0,0
101,1,2
101,2,2
101,3,2
101,4,2
101,5,4
101,6,4
101,7,2
101,8,4
102,0,8
102,1,9
102,2,9
102,3,9
102,4,9
102,5,10
102,6,9
102,7,9
102,8,9
103,0,8
103,1,9
103,2,9
103,3,9
103,4,9
103,5,9
103,6,9
103,7,9
103,8,6
104,0,8
104,1,9
104,2,9
104,3,9
104,4,9
104,5,9
104,6,9
104,7,9
104,8,9
105,0,0
105,1,17
105,2,13
105,3,16
105,4,17
105,5,8
105,6,15
105,7,2
105,8,13
106,0,0
106,1,17
106,2,17
106,3,3
106,4,17
106,5,17
106,6,17
106,7,17
106,8,2
107,0,0
107,1,4
107,2,4
107,3,4
107,4,4
107,5,4
107,6,4
107,7,4
107,8,4
108,0,8
108,1,4
108,2,4
108,3,4
108,4,4
108,5,4
108,6,4
108,7,4
108,8,4
109,0,0
109,1,4
109,2,4
109,3,4
109,4,4
109,5,4
109,6,4
109,7,4
109,8,4
110,0,8
110,1,19
110,2,19
110,3,19
110,4,19
110,5,19
110,6,19
110,7,19
110,8,19
111,0,8
111,1,19
111,2,19
111,3,19
111,4,19
111,5,19
111,6,19
111,7,19
111,8,19
112,0,0
112,1,19
112,2,19
112,3,19
112,4,19
112,5,19
112,6,1
112,7,19
112,8,19
113,0,0
113,1,16
113,2,15
113,3,15
113,4,15
113,5,15
113,6,15
113,7,15
113,8,15
114,0,0
114,1,12
114,2,12
114,3,12
114,4,9
114,5,8
114,6,12
114,7,12
114,8,12
115,0,8
115,1,12
115,2,12
115,3,12
115,4,12
115,5,11
115,6,12
115,7,12
115,8,11
116,0,8
116,1,12
116,2,12
116,3,12
116,4,12
116,5,12
116,6,12
116,7,12
116,8,14
117,0,8
117,1,1
117,2,1
117,3,1
117,4,14
117,5,19
117,6,1
