item,truth
0,12
1,12
2,12
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,3
12,3
13,13
14,13
15,13
16,13
17,13
18,8
19,8
20,8
21,8
22,8
23,8
24,5
25,5
26,16
27,6
28,6
29,6
30,14
31,14
32,14
33,11
34,11
35,11
36,7
37,7
38,7
39,18
40,10
41,10
42,2
43,2
44,2
45,9
46,9
47,9
48,17
49,17
50,4
51,4
52,4
53,19
54,19
55,19
56,15
57,12
58,12
59,12
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,3
68,3
69,3
70,13
71,13
72,13
73,13
74,13
75,8
76,8
77,8
78,8
79,8
80,8
81,5
82,5
83,16
84,6
85,6
86,6
87,14
88,14
89,14
90,11
91,11
92,11
93,7
94,7
95,7
96,18
97,10
98,10
99,2
100,2
101,2
102,9
103,9
104,9
105,17
106,17
107,4
108,4
109,4
110,19
111,19
112,19
113,15
114,12
115,12
116,12
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,3
125,3
126,13
127,13
128,13
129,13
130,13
131,13
132,8
133,8
134,8
135,8
136,8
137,8
138,5
139,16
140,16
141,6
142,6
143,6
144,14
145,14
146,14
147,11
148,11
149,11
150,7
151,7
152,7
153,18
154,10
155,10
156,2
157,2
158,2
159,9
160,9
161,9
162,17
163,17
164,4
165,4
166,4
167,19
168,19
169,19
170,15
171,12
172,12
173,12
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,3
182,3
183,13
184,13
185,13
186,13
187,13
188,13
189,8
190,8
191,8
192,8
193,8
194,8
195,5
196,16
197,16
198,6
199,6
200,6
201,14
202,14
203,14
204,11
205,11
206,11
207,7
208,7
209,7
210,18
211,10
212,10
213,2
214,2
215,2
216,9
217,9
218,17
219,17
220,17
221,4
222,4
223,4
224,19
225,19
226,19
227,15
228,12
229,12
230,12
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,3
239,3
240,13
241,13
242,13
243,13
244,13
245,8
246,8
247,8
248,8
249,8
250,8
251,5
252,5
253,16
254,16
255,6
256,6
257,6
258,14
259,14
260,14
261,11
262,11
263,11
264,7
265,7
266,7
267,18
268,10
269,10
270,2
271,2
272,2
273,9
274,9
275,17
276,17
277,17
278,4
279,4
280,4
281,19
282,19
283,19
284,15
285,12
286,12
287,12
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,3
296,3
297,13
298,13
299,13
300,13
301,13
302,8
303,8
304,8
305,8
306,8
307,8
308,5
309,5
310,16
311,16
312,6
313,6
314,6
315,14
316,14
317,14
318,11
319,11
320,7
321,7
322,7
323,7
324,18
325,10
326,10
327,2
328,2
329,2
330,9
331,9
332,17
333,17
334,17
335,4
336,4
337,4
338,19
339,19
340,19
341,15
342,12
343,12
344,12
345,1
346,1
347,0
348,0
349,0
350,0
351,0
352,3
353,3
354,13
355,13
356,13
357,13
358,13
359,8
360,8
361,8
362,8
363,8
364,8
365,5
366,5
367,16
368,16
369,6
370,6
371,6
372,14
373,14
374,14
375,11
376,11
377,7
378,7
379,7
380,18
381,18
382,10
383,10
384,2
385,2
386,9
387,9
388,9
389,17
390,17
391,17
392,4
393,4
394,4
395,19
396,19
397,15
398,15
399,12
400,12
401,1
402,1
403,1
404,0
405,0
406,0
407,0
408,0
409,3
410,3
411,13
412,13
413,13
414,13
415,13
416,8
417,8
418,8
419,8
420,8
421,8
422,5
423,5
424,16
425,16
426,6
427,6
428,6
429,14
430,14
431,14
432,11
433,11
434,7
435,7
436,7
437,18
438,10
439,10
440,2
441,2
442,2
443,9
444,9
445,9
446,17
447,17
448,17
449,4
450,4
451,4
452,19
453,19
454,15
455,15
456,12
457,12
458,1
459,1
460,1
