item,worker,label
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
0,10,3
1,0,0
1,1,0
1,2,3
1,3,3
1,4,3
1,5,3
1,6,0
1,7,4
1,8,0
1,9,0
1,10,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,3
2,8,0
2,9,0
2,10,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
4,0,3
4,1,3
4,2,3
4,3,3
4,4,3
4,5,3
4,6,3
4,7,3
4,8,3
4,9,3
4,10,3
5,0,3
5,1,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,7,3
5,8,3
5,9,3
5,10,3
6,0,0
6,1,3
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,3
6,8,0
6,9,0
6,10,3
7,0,3
7,1,3
7,2,3
7,3,3
7,4,3
7,5,3
7,6,3
7,7,3
7,8,3
7,9,2
7,10,3
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,3
8,8,0
8,9,0
8,10,0
9,0,3
9,1,0
9,2,0
9,3,3
9,4,0
9,5,0
9,6,0
9,7,3
9,8,0
9,9,3
9,10,0
10,0,0
10,1,3
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,3
10,8,0
10,9,0
10,10,3
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,6
11,8,0
11,9,0
11,10,0
12,0,3
12,1,0
12,2,5
12,3,3
12,4,0
12,5,5
12,6,0
12,7,5
12,8,5
12,9,5
12,10,5
13,0,0
13,1,0
13,2,3
13,3,3
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,3
13,10,0
14,0,3
14,1,3
14,2,3
14,3,0
14,4,3
14,5,0
14,6,0
14,7,0
14,8,3
14,9,3
14,10,3
15,0,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,10,6
16,0,0
16,1,0
16,2,4
16,3,0
16,4,0
16,5,0
16,6,0
16,7,3
16,8,4
16,9,0
16,10,3
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
18,0,3
18,1,0
18,2,3
18,3,3
18,4,3
18,5,3
18,6,3
18,7,3
18,8,3
18,9,3
18,10,0
19,0,3
19,1,0
19,2,0
19,3,3
19,4,0
19,5,0
19,6,3
19,7,0
19,8,0
19,9,0
19,10,3
20,0,3
20,1,3
20,2,3
20,3,3
20,4,3
20,5,1
20,6,4
20,7,6
20,8,1
20,9,3
20,10,3
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,3
21,8,0
21,9,0
21,10,0
22,0,3
22,1,0
22,2,0
22,3,0
22,4,3
22,5,0
22,6,0
22,7,3
22,8,0
22,9,0
22,10,3
23,0,3
23,1,3
23,2,3
23,3,3
23,4,3
23,5,3
23,6,3
23,7,3
23,8,3
23,9,3
23,10,3
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,3
25,0,3
25,1,0
25,2,3
25,3,3
25,4,0
25,5,3
25,6,3
25,7,0
25,8,3
25,9,3
25,10,0
26,0,3
26,1,3
26,2,0
26,3,3
26,4,3
26,5,3
26,6,3
26,7,0
26,8,0
26,9,3
26,10,3
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,3
27,8,0
27,9,0
27,10,0
28,0,0
28,1,0
28,2,0
28,3,3
28,4,0
28,5,0
28,6,0
28,7,3
28,8,0
28,9,0
28,10,0
29,0,0
29,1,0
29,2,0
29,3,3
29,4,0
29,5,0
29,6,0
29,7,3
29,8,3
29,9,0
29,10,0
30,0,3
30,1,0
30,2,3
30,3,3
30,4,3
30,5,3
30,6,3
30,7,3
30,8,3
30,9,3
30,10,3
31,0,0
31,1,0
31,2,0
