item,worker,label
0,0,1
0,1,1
0,2,1
0,3,1
0,4,3
0,5,3
0,6,2
0,7,1
0,8,1
0,9,1
0,10,1
1,0,2
1,1,2
1,2,2
1,3,1
1,4,2
1,5,2
1,6,2
1,7,1
1,8,2
1,9,2
1,10,2
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
3,0,2
3,1,1
3,2,2
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,2
4,0,2
4,1,1
4,2,2
4,3,1
4,4,0
4,5,2
4,6,2
4,7,2
4,8,2
4,9,2
4,10,1
5,0,1
5,1,2
5,2,2
5,3,1
5,4,1
5,5,2
5,6,2
5,7,1
5,8,1
5,9,2
5,10,2
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,1
6,8,2
6,9,2
6,10,1
7,0,2
7,1,2
7,2,2
7,3,2
7,4,0
7,5,1
7,6,1
7,7,2
7,8,2
7,9,2
7,10,0
8,0,2
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
8,6,2
8,7,1
8,8,2
8,9,2
8,10,2
9,0,3
9,1,1
9,2,3
9,3,3
9,4,3
9,5,1
9,6,3
9,7,0
9,8,3
9,9,1
9,10,3
10,0,2
10,1,2
10,2,1
10,3,1
10,4,2
10,5,2
10,6,2
10,7,2
10,8,1
10,9,2
10,10,2
11,0,2
11,1,2
11,2,2
11,3,1
11,4,2
11,5,2
11,6,2
11,7,2
11,8,2
11,9,2
11,10,2
12,0,3
12,1,3
12,2,3
12,3,3
12,4,3
12,5,3
12,6,3
12,7,3
12,8,3
12,9,3
12,10,3
13,0,2
13,1,2
13,2,2
13,3,2
13,4,2
13,5,2
13,6,1
13,7,2
13,8,2
13,9,2
13,10,2
14,0,2
14,1,1
14,2,2
14,3,2
14,4,2
14,5,1
14,6,1
14,7,2
14,8,2
14,9,2
14,10,1
15,0,1
15,1,1
15,2,1
15,3,1
