item,worker,label
0,0,2
0,1,2
0,2,2
0,3,2
0,4,3
0,5,2
0,6,3
0,7,3
0,8,2
0,9,2
0,10,3
1,0,2
1,1,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
1,10,2
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
3,0,2
3,1,2
3,2,2
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,2
4,0,3
4,1,3
4,2,2
4,3,3
4,4,3
4,5,1
4,6,3
4,7,3
4,8,2
4,9,1
4,10,3
5,0,2
5,1,2
5,2,3
5,3,2
5,4,2
5,5,3
5,6,2
5,7,2
5,8,3
5,9,3
5,10,2
6,0,3
6,1,3
6,2,3
6,3,3
6,4,3
6,5,3
6,6,3
6,7,3
6,8,3
6,9,3
6,10,3
7,0,3
7,1,3
7,2,3
7,3,3
7,4,3
7,5,3
7,6,3
7,7,3
7,8,3
7,9,3
7,10,3
8,0,3
8,1,3
8,2,2
8,3,2
8,4,2
8,5,2
8,6,3
8,7,2
8,8,3
8,9,3
8,10,3
9,0,3
9,1,3
9,2,3
9,3,3
9,4,3
9,5,3
9,6,3
9,7,2
9,8,3
9,9,3
9,10,3
10,0,2
10,1,2
10,2,3
10,3,2
10,4,2
10,5,2
10,6,3
10,7,2
10,8,2
10,9,3
10,10,2
11,0,3
11,1,3
11,2,3
11,3,4
11,4,3
11,5,4
11,6,3
11,7,2
11,8,3
11,9,4
11,10,3
12,0,2
12,1,2
12,2,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
12,10,2
13,0,3
13,1,3
13,2,4
13,3,3
13,4,2
13,5,3
13,6,4
13,7,3
13,8,4
13,9,3
13,10,4
14,0,3
14,1,3
14,2,3
14,3,3
14,4,3
14,5,3
14,6,3
14,7,3
14,8,3
14,9,3
14,10,3
15,0,3
15,1,3
15,2,3
15,3,3
15,4,3
15,5,3
15,6,3
15,7,1
15,8,3
15,9,3
15,10,3
16,0,2
16,1,2
16,2,2
16,3,2
16,4,3
16,5,2
16,6,2
16,7,3
16,8,2
16,9,2
16,10,2
17,0,2
17,1,2
17,2,2
17,3,3
17,4,2
17,5,3
17,6,2
17,7,3
17,8,3
17,9,2
17,10,2
18,0,3
18,1,3
18,2,3
18,3,3
18,4,3
18,5,3
18,6,3
18,7,3
18,8,3
18,9,3
18,10,3
19,0,3
19,1,3
19,2,3
19,3,3
19,4,3
19,5,3
19,6,3
19,7,2
19,8,3
19,9,3
19,10,3
20,0,3
20,1,3
20,2,3
20,3,3
20,4,3
20,5,3
20,6,3
20,7,4
20,8,4
20,9,3
20,10,3
21,0,2
21,1,2
21,2,2
21,3,2
21,4,2
21,5,2
21,6,2
21,7,2
21,8,2
21,9,2
21,10,2
22,0,3
22,1,3
22,2,3
22,3,3
22,4,3
22,5,3
22,6,3
22,7,3
22,8,3
22,9,3
22,10,3
23,0,2
23,1,2
23,2,2
23,3,2
23,4,2
23,5,2
23,6,2
23,7,2
23,8,2
23,9,2
23,10,2
24,0,3
24,1,4
24,2,3
24,3,3
24,4,3
24,5,3
24,6,4
24,7,3
24,8,3
24,9,4
24,10,3
25,0,3
25,1,3
25,2,3
25,3,3
25,4,3
25,5,3
25,6,3
25,7,3
25,8,3
25,9,3
25,10,3
26,0,3
26,1,2
26,2,3
26,3,3
26,4,3
26,5,3
26,6,3
26,7,2
26,8,3
26,9,3
26,10,2
27,0,3
27,1,3
27,2,3
27,3,3
27,4,3
27,5,2
27,6,3
27,7,3
27,8,3
27,9,3
27,10,2
28,0,2
28,1,2
28,2,2
28,3,2
28,4,2
28,5,2
28,6,2
28,7,2
28,8,2
28,9,2
28,10,2
29,0,2
29,1,2
29,2,2
29,3,2
29,4,2
29,5,2
29,6,2
29,7,3
29,8,2
29,9,2
29,10,2
30,0,3
30,1,3
30,2,3
30,3,3
30,4,3
30,5,3
30,6,3
30,7,3
30,8,3
30,9,3
30,10,3
31,0,2
31,1,2
31,2,2
31,3,2
31,4,2
31,5,2
31,6,2
31,7,2
31,8,2
31,9,2
31,10,3
32,0,3
32,1,3
32,2,3
32,3,3
32,4,3
32,5,3
32,6,3
32,7,3
32,8,3
32,9,3
32,10,3
33,0,3
33,1,3
33,2,3
33,3,3
33,4,3
33,5,3
33,6,3
33,7,3
33,8,3
33,9,3
33,10,3
34,0,3
34,1,3
34,2,3
34,3,3
34,4,3
34,5,3
34,6,3
34,7,2
34,8,3
34,9,3
34,10,3
35,0,3
35,1,3
35,2,3
35,3,3
35,4,3
35,5,3
35,6,3
35,7,3
35,8,3
35,9,3
35,10,3
36,0,2
36,1,3
36,2,2
36,3,2
36,4,2
36,5,2
36,6,2
36,7,3
36,8,2
36,9,2
36,10,3
37,0,3
37,1,3
37,2,3
37,3,3
37,4,3
37,5,3
37,6,3
37,7,3
37,8,3
37,9,3
37,10,3
38,0,3
38,1,2
38,2,2
38,3,3
38,4,3
38,5,3
38,6,3
38,7,3
38,8,3
38,9,2
38,10,2
39,0,2
39,1,2
39,2,3
39,3,3
39,4,2
39,5,2
39,6,3
39,7,2
39,8,3
39,9,2
39,10,2
40,0,3
40,1,3
40,2,3
40,3,3
40,4,3
40,5,3
40,6,3
40,7,4
40,8,3
40,9,3
40,10,3
41,0,3
41,1,3
41,2,3
41,3,3
41,4,3
41,5,3
41,6,3
41,7,2
41,8,3
41,9,3
41,10,3
42,0,3
42,1,3
42,2,3
42,3,3
42,4,3
42,5,3
42,6,3
42,7,3
42,8,3
42,9,3
42,10,3
43,0,3
43,1,3
43,2,3
43,3,3
43,4,3
43,5,3
43,6,3
43,7,2
43,8,3
43,9,3
43,10,3
44,0,2
44,1,2
44,2,2
44,3,2
44,4,2
44,5,2
44,6,2
44,7,3
44,8,2
44,9,2
44,10,2
45,0,3
45,1,4
45,2,3
45,3,3
45,4,4
45,5,3
45,6,3
45,7,3
45,8,3
45,9,3
45,10,3
46,0,3
46,1,3
46,2,3
46,3,3
46,4,3
46,5,3
46,6,3
46,7,3
46,8,3
46,9,3
46,10,3
47,0,3
47,1,3
47,2,3
47,3,3
47,4,2
47,5,2
47,6,3
47,7,3
47,8,3
47,9,3
47,10,3
48,0,3
48,1,3
48,2,3
48,3,3
48,4,3
48,5,3
48,6,3
48,7,3
48,8,3
48,9,3
48,10,3
49,0,3
49,1,3
49,2,3
49,3,3
49,4,3
49,5,3
49,6,3
49,7,3
49,8,3
49,9,3
49,10,3
50,0,2
50,1,2
50,2,3
50,3,3
50,4,3
50,5,3
50,6,2
50,7,3
50,8,3
50,9,3
50,10,2
51,0,3
51,1,3
51,2,3
51,3,3
51,4,3
51,5,3
51,6,3
51,7,3
51,8,3
51,9,3
51,10,3
52,0,4
52,1,4
52,2,4
52,3,4
52,4,3
52,5,4
52,6,3
52,7,2
52,8,4
52,9,4
52,10,4
53,0,2
53,1,2
53,2,3
53,3,2
53,4,2
53,5,3
53,6,2
53,7,3
53,8,3
53,9,2
53,10,2
54,0,3
54,1,3
54,2,3
54,3,3
54,4,3
54,5,3
54,6,3
54,7,2
54,8,3
54,9,3
54,10,3
55,0,3
55,1,3
55,2,3
55,3,3
55,4,2
55,5,3
55,6,2
55,7,3
55,8,3
55,9,3
55,10,3
56,0,3
56,1,3
56,2,3
56,3,3
56,4,3
56,5,3
56,6,3
56,7,3
56,8,3
56,9,3
56,10,3
57,0,3
57,1,3
57,2,3
57,3,3
57,4,3
57,5,3
57,6,3
57,7,2
57,8,3
57,9,3
57,10,3
58,0,4
58,1,3
58,2,3
58,3,4
58,4,3
58,5,3
58,6,4
58,7,4
58,8,4
58,9,3
58,10,3
59,0,2
59,1,2
59,2,2
59,3,2
59,4,2
59,5,2
59,6,2
59,7,3
59,8,2
59,9,2
59,10,2
60,0,4
60,1,3
60,2,3
60,3,4
60,4,3
60,5,4
60,6,4
60,7,4
60,8,3
60,9,3
60,10,3
61,0,2
61,1,2
61,2,3
61,3,2
61,4,1
61,5,2
61,6,3
61,7,2
61,8,3
61,9,2
61,10,3
